rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,600468,百利电气,C38电气机械和器材制造业,行业,0,0.0,False,69.1,"{'MA20评分': 26.8, '均线评分': 25.0, '量能评分': 13.2, '突破评分': 6.0, '市值评分': 0.0, '板块热度': 5.0, '资金评分': 15.0, '风险扣分': -6.8, '市场风格调整': 0.0}",51.76,15.0,13.19,6.0,6.83,26.76,25.0,6.0,-6.83,0.0,5.0,6.72,5.992,5.718,5.411,2.985,10.856,775162590.0,0.0804,0.0,0.0,0.0,0.0,7309581216.0,6.62 - 6.82,5.33,7.26,收盘价高于20日均线24.2%；均线多头排列，MA5/MA10距离4.8%，MA10/MA20距离5.7%；成交量为5日均量2.99倍；成交量为10日均量3.24倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣0.0分；距离20日均线过远扣6.8分,今日无高确定性机会，建议空仓观察。
2,600815,厦工股份,C35专用设备制造业,行业,0,0.0,False,61.5,"{'MA20评分': 28.8, '均线评分': 25.0, '量能评分': 11.7, '突破评分': 6.0, '市值评分': 0.0, '板块热度': 1.9, '资金评分': 10.0, '风险扣分': -12.0, '市场风格调整': 0.0}",53.84,10.0,11.73,6.0,11.96,28.84,25.0,6.0,-11.96,0.0,1.88,3.49,3.13,2.931,2.718,2.247,10.941,670635066.0,0.0906,0.0,0.0,0.0,0.0,6191589804.999999,3.44 - 3.54,2.68,3.77,收盘价高于20日均线28.4%；均线多头排列，MA5/MA10距离6.8%，MA10/MA20距离7.8%；成交量为5日均量2.25倍；成交量为10日均量2.62倍；突破近20日高点；OBV趋势向上；行业C35专用设备制造业热度评分0.00,最近10日涨幅过大扣2.8分；距离20日均线过远扣9.1分,今日无高确定性机会，建议空仓观察。
3,603956,威派格,C35专用设备制造业,行业,0,0.0,False,61.4,"{'MA20评分': 25.5, '均线评分': 25.0, '量能评分': 9.9, '突破评分': 5.7, '市值评分': 0.0, '板块热度': 1.9, '资金评分': 5.6, '风险扣分': -6.7, '市场风格调整': 0.0}",50.46,5.65,9.93,5.74,6.67,25.46,25.0,5.74,-6.67,0.0,1.88,7.18,6.57,6.255,5.929,1.933,12.761,504955466.0,-0.0097,0.0,0.0,0.0,0.0,4091927234.0,7.07 - 7.29,5.84,7.75,收盘价高于20日均线21.1%；均线多头排列，MA5/MA10距离5.0%，MA10/MA20距离5.5%；成交量为5日均量1.93倍；成交量为10日均量2.43倍；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；行业C35专用设备制造业热度评分0.00,最近10日涨幅过大扣1.6分；距离20日均线过远扣5.1分,今日无高确定性机会，建议空仓观察。
4,603533,掌阅科技,I64互联网和相关服务,行业,0,0.0,False,60.9,"{'MA20评分': 26.1, '均线评分': 21.8, '量能评分': 7.1, '突破评分': 3.9, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 7.7, '风险扣分': -3.4, '市场风格调整': 0.0}",47.88,7.69,7.08,3.93,3.44,26.09,21.79,3.93,-3.44,3.0,2.5,23.12,21.532,20.263,19.561,1.364,9.906,974108218.0,0.023,0.0,0.0,0.0,0.0,10147294016.0,22.77 - 23.47,19.27,24.97,收盘价高于20日均线18.2%；均线多头排列，MA5/MA10距离6.3%，MA10/MA20距离3.6%；成交量为5日均量1.36倍；成交量为10日均量1.50倍；突破近20日高点；OBV趋势向上；行业I64互联网和相关服务热度评分0.00,距离20日均线过远扣3.4分,今日无高确定性机会，建议空仓观察。
5,600936,北投科技,I63电信、广播电视和卫星传输服务,行业,0,0.0,False,60.5,"{'MA20评分': 27.9, '均线评分': 25.0, '量能评分': 8.2, '突破评分': 3.3, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 6.6, '风险扣分': -4.4, '市场风格调整': 0.0}",52.91,6.57,8.18,3.28,4.44,27.91,25.0,3.28,-4.44,0.0,0.62,5.87,5.508,5.275,4.938,1.688,9.355,900736116.0,0.0051,0.0,0.0,0.0,0.0,9808923794.0,5.78 - 5.96,4.86,6.34,收盘价高于20日均线18.9%；均线多头排列，MA5/MA10距离4.4%，MA10/MA20距离6.8%；成交量为5日均量1.69倍；成交量为10日均量1.69倍；突破近20日高点；OBV趋势向上；行业I63电信、广播电视和卫星传输服务热度评分0.00,距离20日均线过远扣3.8分；当日放量滞涨扣0.6分,今日无高确定性机会，建议空仓观察。
6,600192,长城电工,C38电气机械和器材制造业,行业,0,0.0,False,59.9,"{'MA20评分': 25.4, '均线评分': 20.5, '量能评分': 12.1, '突破评分': 5.5, '市值评分': 0.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -8.7, '市场风格调整': 0.0}",45.96,10.0,12.12,5.51,8.74,25.43,20.54,5.51,-8.74,0.0,5.0,7.7,6.932,6.568,6.374,3.198,10.315,346013780.0,0.0665,0.0,0.0,0.0,0.0,3401459600.0,7.58 - 7.82,6.28,8.32,收盘价高于20日均线20.8%；均线多头排列，MA5/MA10距离5.5%，MA10/MA20距离3.0%；成交量为5日均量3.20倍；成交量为10日均量3.92倍；突破近20日高点；OBV趋势向上；行业C38电气机械和器材制造业热度评分0.00,距离20日均线过远扣4.9分；成交额偏低扣3.8分,今日无高确定性机会，建议空仓观察。
7,002498,汉缆股份,C38电气机械和器材制造业,行业,0,0.0,False,58.8,"{'MA20评分': 23.8, '均线评分': 25.0, '量能评分': 6.4, '突破评分': 2.9, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 5.9, '风险扣分': -7.3, '市场风格调整': 0.0}",48.83,5.91,6.43,2.89,7.34,23.83,25.0,2.89,-7.34,3.0,5.0,7.38,7.12,6.702,6.199,1.035,7.356,1797641298.27,-0.0054,0.0,0.0,0.0,0.0,24551754480.0,7.27 - 7.49,6.11,7.97,收盘价高于20日均线19.1%；均线多头排列，MA5/MA10距离6.2%，MA10/MA20距离8.1%；成交量为5日均量1.03倍；成交量为10日均量1.36倍；OBV趋势向上；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣1.1分；距离20日均线过远扣3.9分；当日长上影线明显扣2.3分,今日无高确定性机会，建议空仓观察。
8,600986,浙文互联,I64互联网和相关服务,行业,0,0.0,False,58.4,"{'MA20评分': 25.6, '均线评分': 22.9, '量能评分': 8.8, '突破评分': 2.9, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 10.9, '风险扣分': -7.3, '市场风格调整': 0.0}",48.5,10.94,8.84,2.91,7.33,25.58,22.93,2.91,-7.33,3.0,2.5,8.08,7.596,7.181,6.899,1.392,11.606,1390702544.0,-0.0049,0.0,0.0,0.0,0.0,12017982728.0,7.96 - 8.20,6.8,8.73,收盘价高于20日均线17.1%；均线多头排列，MA5/MA10距离5.8%，MA10/MA20距离4.1%；成交量为5日均量1.39倍；成交量为10日均量1.75倍；OBV趋势向上；OBV接近或创阶段新高；行业I64互联网和相关服务热度评分0.00,距离20日均线过远扣2.8分；当日长上影线明显扣4.5分,今日无高确定性机会，建议空仓观察。
9,600756,浪潮软件,I65软件和信息技术服务业,行业,0,0.0,False,58.4,"{'MA20评分': 27.3, '均线评分': 24.7, '量能评分': 3.3, '突破评分': 1.0, '市值评分': 0.0, '板块热度': 2.5, '资金评分': 5.0, '风险扣分': -2.3, '市场风格调整': 2.0}",51.91,5.0,3.26,1.02,2.28,27.26,24.65,1.02,-2.28,0.0,2.5,16.18,16.13,15.388,14.676,0.75,12.2,642507840.0,-0.0369,0.0,0.0,0.0,0.0,5243918584.0,15.94 - 16.42,14.46,17.47,收盘价高于20日均线10.2%；均线多头排列，MA5/MA10距离4.8%，MA10/MA20距离4.8%；OBV趋势向上；行业I65软件和信息技术服务业热度评分0.00；科技成长主线占优，顺势加分,当日长上影线明显扣2.3分,今日无高确定性机会，建议空仓观察。
10,002400,省广集团,L72商务服务业,行业,0,0.0,False,58.3,"{'MA20评分': 23.6, '均线评分': 20.7, '量能评分': 5.6, '突破评分': 3.4, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 11.8, '风险扣分': -1.2, '市场风格调整': 0.0}",44.34,11.79,5.61,3.41,1.15,23.6,20.74,3.41,-1.15,3.0,3.12,6.99,6.642,6.319,6.127,1.087,8.013,959338234.5600001,0.0087,0.0,0.0,0.0,0.0,12065890554.0,6.89 - 7.09,6.04,7.55,收盘价高于20日均线14.1%；均线多头排列，MA5/MA10距离5.1%，MA10/MA20距离3.1%；成交量为5日均量1.09倍；成交量为10日均量1.45倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业L72商务服务业热度评分0.00,距离20日均线过远扣1.2分,今日无高确定性机会，建议空仓观察。
