rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,000938,紫光股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,68.9,"{'MA20评分': 24.0, '均线评分': 22.6, '量能评分': 8.9, '突破评分': 8.1, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 14.7, '风险扣分': -9.6, '市场风格调整': 0.0}",46.58,14.65,8.88,8.07,9.65,23.98,22.6,8.07,-9.65,10.0,5.0,33.31,30.282,28.623,27.538,1.402,11.037,9933778019.89,0.0544,0.0,0.0,0.0,0.0,95269021637.0,32.81 - 33.81,27.12,35.97,收盘价高于20日均线21.0%；均线多头排列，MA5/MA10距离5.8%，MA10/MA20距离3.9%；成交量为5日均量1.40倍；成交量为10日均量1.64倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣5.0分；连续涨停风险扣2.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
2,000021,深科技,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,68.1,"{'MA20评分': 28.6, '均线评分': 25.0, '量能评分': 5.0, '突破评分': 0.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -2.5, '市场风格调整': -3.0}",53.61,0.0,5.0,0.0,2.49,28.61,25.0,0.0,-2.49,10.0,5.0,53.3,58.354,55.331,47.741,0.67,10.45,8981156958.57,-0.1949,0.0,0.0,0.0,0.0,83902492414.0,52.50 - 54.10,47.02,57.56,收盘价高于20日均线11.6%；均线多头排列，MA5/MA10距离5.5%，MA10/MA20距离15.9%；行业C39计算机、通信和其他电子设备制造业热度评分0.00,波动异常扣0.5分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位；快速轮动，降低追高等级,今日无高确定性机会，建议空仓观察。
3,603078,江化微,C26化学原料和化学制品制造业,行业,0,0.0,False,65.8,"{'MA20评分': 29.4, '均线评分': 25.0, '量能评分': 6.6, '突破评分': 5.0, '市值评分': 3.0, '板块热度': 3.8, '资金评分': 10.0, '风险扣分': -7.0, '市场风格调整': 0.0}",54.42,10.0,6.56,5.0,7.02,29.42,25.0,5.0,-7.02,3.0,3.75,57.7,54.588,50.216,47.67,0.978,16.677,3566284749.0,-0.0303,0.0,0.0,0.0,0.0,22251266440.0,56.83 - 58.57,46.96,62.32,收盘价高于20日均线21.0%；均线多头排列，MA5/MA10距离8.7%，MA10/MA20距离5.3%；成交量为10日均量1.21倍；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣5.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
4,001270,铖昌科技,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,64.1,"{'MA20评分': 22.5, '均线评分': 25.0, '量能评分': 11.1, '突破评分': 1.0, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -6.5, '市场风格调整': 0.0}",47.5,0.0,11.07,1.04,6.46,22.5,25.0,1.04,-6.46,6.0,5.0,159.39,157.234,145.262,137.181,1.82,11.83,4128393015.44,-0.0269,0.0,0.0,0.0,0.0,32643597987.0,157.00 - 161.78,135.12,172.14,收盘价高于20日均线16.2%；均线多头排列，MA5/MA10距离8.2%，MA10/MA20距离5.9%；成交量为5日均量1.82倍；成交量为10日均量2.03倍；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣2.3分；当日放量滞涨扣2.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
5,002317,众生药业,C27医药制造业,行业,0,0.0,False,63.7,"{'MA20评分': 28.0, '均线评分': 25.0, '量能评分': 6.4, '突破评分': 7.5, '市值评分': 3.0, '板块热度': 1.9, '资金评分': 8.7, '风险扣分': -8.2, '市场风格调整': 0.0}",52.98,8.74,6.42,7.54,8.18,27.98,25.0,7.54,-8.18,3.0,1.88,28.99,26.84,25.133,23.619,1.023,9.019,1971313061.3200002,0.0398,0.0,0.0,0.0,0.0,22079288426.0,28.56 - 29.42,23.26,31.31,收盘价高于20日均线22.7%；均线多头排列，MA5/MA10距离6.8%，MA10/MA20距离6.4%；成交量为5日均量1.02倍；成交量为10日均量1.20倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；行业C27医药制造业热度评分0.00,最近10日涨幅过大扣0.2分；距离20日均线过远扣6.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
6,002979,雷赛智能,C40仪器仪表制造业,行业,0,0.0,False,63.3,"{'MA20评分': 28.5, '均线评分': 23.7, '量能评分': 15.0, '突破评分': 8.0, '市值评分': 3.0, '板块热度': 0.6, '资金评分': 9.6, '风险扣分': -15.6, '市场风格调整': 0.0}",52.26,9.59,15.0,8.04,15.61,28.51,23.75,8.04,-15.61,3.0,0.62,73.27,63.862,58.238,55.757,4.965,26.673,4423190761.280001,0.0535,0.0,0.0,0.0,0.0,16320401591.0,72.17 - 74.37,54.92,79.13,收盘价高于20日均线31.4%；均线多头排列，MA5/MA10距离9.7%，MA10/MA20距离4.4%；成交量为5日均量4.96倍；成交量为10日均量5.06倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；行业C40仪器仪表制造业热度评分0.00,最近10日涨幅过大扣1.4分；距离20日均线过远扣10.0分；当日长上影线明显扣2.2分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
7,002536,飞龙股份,C36汽车制造业,行业,0,0.0,False,62.3,"{'MA20评分': 29.4, '均线评分': 20.7, '量能评分': 9.4, '突破评分': 7.3, '市值评分': 3.0, '板块热度': 1.9, '资金评分': 13.3, '风险扣分': -9.4, '市场风格调整': 0.0}",50.11,13.27,9.4,7.26,9.4,29.38,20.73,7.26,-9.4,3.0,1.88,55.0,49.914,48.871,45.768,1.766,13.549,4056607397.72,0.0323,0.0,0.0,0.0,0.0,29942060500.0,54.17 - 55.82,45.08,59.4,收盘价高于20日均线20.2%；均线多头排列，MA5/MA10距离2.1%，MA10/MA20距离6.8%；成交量为5日均量1.77倍；成交量为10日均量1.42倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C36汽车制造业热度评分0.00,距离20日均线过远扣4.5分；当日长上影线明显扣2.6分；波动异常扣0.2分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
8,001309,德明利,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,62.2,"{'MA20评分': 30.0, '均线评分': 17.1, '量能评分': 7.6, '突破评分': 0.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -7.5, '市场风格调整': 0.0}",47.14,5.0,7.61,0.0,7.5,30.0,17.14,0.0,-7.5,10.0,5.0,935.0,892.806,884.104,769.441,1.315,13.137,19558879510.0,-0.0459,0.0,0.0,0.0,0.0,154338580000.0,920.98 - 949.02,757.9,1009.8,收盘价高于20日均线21.5%；均线多头排列，MA5/MA10距离1.0%，MA10/MA20距离14.9%；成交量为5日均量1.32倍；成交量为10日均量1.24倍；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣5.3分；波动异常扣0.2分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
9,603032,德新科技,C35专用设备制造业,行业,0,0.0,False,62.1,"{'MA20评分': 23.3, '均线评分': 23.7, '量能评分': 8.7, '突破评分': 8.2, '市值评分': 0.0, '板块热度': 3.8, '资金评分': 10.0, '风险扣分': -5.5, '市场风格调整': 0.0}",46.97,10.0,8.69,8.25,5.47,23.27,23.7,8.25,-5.47,0.0,3.75,29.75,27.248,26.433,25.158,1.514,15.793,1079720027.0,0.0644,0.0,0.0,0.0,0.0,6928227600.0,29.30 - 30.20,24.78,32.13,收盘价高于20日均线18.3%；均线多头排列，MA5/MA10距离3.1%，MA10/MA20距离5.1%；成交量为5日均量1.51倍；成交量为10日均量1.86倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；行业C35专用设备制造业热度评分0.00,距离20日均线过远扣3.5分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
10,603991,领先股份,C29橡胶和塑料制品业,行业,0,0.0,False,61.9,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 4.8, '突破评分': 3.9, '市值评分': 3.0, '板块热度': 1.2, '资金评分': 10.0, '风险扣分': -6.1, '市场风格调整': 0.0}",55.0,10.0,4.83,3.92,6.13,30.0,25.0,3.92,-6.13,3.0,1.25,153.59,150.556,139.576,128.591,0.875,9.022,1224104924.0,-0.0516,0.0,0.0,0.0,0.0,13751911035.0,151.29 - 155.89,126.66,165.88,收盘价高于20日均线19.4%；均线多头排列，MA5/MA10距离7.9%，MA10/MA20距离8.5%；成交量为10日均量1.02倍；OBV趋势向上；OBV接近或创阶段新高；行业C29橡胶和塑料制品业热度评分0.00,距离20日均线过远扣4.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
