rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,000938,紫光股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,74.6,"{'MA20评分': 26.3, '均线评分': 25.0, '量能评分': 11.0, '突破评分': 6.4, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 11.8, '风险扣分': -6.1, '市场风格调整': -3.0}",51.26,11.83,11.02,6.43,6.06,26.26,25.0,6.43,-6.06,10.0,5.0,33.62,31.544,29.676,28.178,1.715,16.779,16415139487.9,0.0093,0.0,0.0,0.0,0.0,96155644174.0,33.12 - 34.12,27.76,36.31,收盘价高于20日均线19.3%；均线多头排列，MA5/MA10距离6.3%，MA10/MA20距离5.3%；成交量为5日均量1.72倍；成交量为10日均量2.13倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣4.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位；快速轮动，降低追高等级,今日无高确定性机会，建议空仓观察。
2,002025,航天电器,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,67.0,"{'MA20评分': 29.7, '均线评分': 25.0, '量能评分': 6.1, '突破评分': 1.4, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -6.1, '市场风格调整': 0.0}",54.67,5.0,6.1,1.37,6.14,29.67,25.0,1.37,-6.14,6.0,5.0,86.3,87.064,80.922,72.251,1.066,8.166,3365913878.62,-0.0806,0.0,0.0,0.0,0.0,39169093190.0,85.01 - 87.59,71.17,93.2,收盘价高于20日均线19.4%；均线多头排列，MA5/MA10距离7.6%，MA10/MA20距离12.0%；成交量为5日均量1.07倍；成交量为10日均量1.11倍；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣4.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
3,000779,甘咨询,M74专业技术服务业,行业,0,0.0,False,60.2,"{'MA20评分': 24.3, '均线评分': 20.6, '量能评分': 12.8, '突破评分': 5.7, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 13.2, '风险扣分': -3.9, '市场风格调整': 0.0}",44.91,13.22,12.81,5.73,3.88,24.26,20.65,5.73,-3.88,0.0,0.62,9.18,8.622,8.202,7.957,3.797,14.822,623646638.79,0.0315,0.0,0.0,0.0,0.0,4266616140.0,9.04 - 9.32,7.84,9.91,收盘价高于20日均线15.4%；均线多头排列，MA5/MA10距离5.1%，MA10/MA20距离3.1%；成交量为5日均量3.80倍；成交量为10日均量4.85倍；突破近20日高点；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业M74专业技术服务业热度评分0.00,距离20日均线过远扣1.9分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
4,603893,瑞芯微,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,59.9,"{'MA20评分': 23.2, '均线评分': 10.9, '量能评分': 15.0, '突破评分': 7.3, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 13.8, '风险扣分': -11.5, '市场风格调整': 0.0}",34.09,13.83,15.0,7.34,11.48,23.21,10.88,7.34,-11.48,10.0,5.0,202.0,185.242,184.916,178.911,2.714,10.285,8933894002.0,0.0413,0.0,0.0,0.0,0.0,85424476900.0,198.97 - 205.03,176.23,218.16,收盘价高于20日均线12.9%；均线多头排列，MA5/MA10距离0.2%，MA10/MA20距离3.4%；成交量为5日均量2.71倍；成交量为10日均量2.92倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣0.5分；当日长上影线明显扣9.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
5,600360,华微电子,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,57.9,"{'MA20评分': 23.7, '均线评分': 20.6, '量能评分': 7.1, '突破评分': 1.8, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -3.4, '市场风格调整': 0.0}",44.32,0.0,7.11,1.84,3.38,23.7,20.62,1.84,-3.38,3.0,5.0,14.97,14.656,14.355,13.194,1.152,18.031,2596705401.0,-0.0348,0.0,0.0,0.0,0.0,14375620641.0,14.75 - 15.19,13.0,16.17,收盘价高于20日均线13.5%；均线多头排列，MA5/MA10距离2.1%，MA10/MA20距离8.8%；成交量为5日均量1.15倍；成交量为10日均量1.23倍；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣0.8分；当日长上影线明显扣0.6分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
6,603823,百合花,C26化学原料和化学制品制造业,行业,0,0.0,False,56.9,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 7.4, '突破评分': 2.0, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 10.0, '风险扣分': -12.9, '市场风格调整': 0.0}",55.0,10.0,7.36,2.0,12.92,30.0,25.0,2.0,-12.92,3.0,2.5,69.79,65.84,59.898,53.239,1.297,7.609,2186277078.0,-0.0367,0.0,0.0,0.0,0.0,29058301782.999996,68.74 - 70.84,52.44,75.37,收盘价高于20日均线31.1%；均线多头排列，MA5/MA10距离9.9%，MA10/MA20距离12.5%；成交量为5日均量1.30倍；成交量为10日均量1.40倍；OBV趋势向上；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣10.0分；波动异常扣0.9分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
7,002828,贝肯能源,B11开采专业及辅助性活动,行业,0,0.0,False,56.7,"{'MA20评分': 29.2, '均线评分': 25.0, '量能评分': 7.5, '突破评分': 3.3, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 11.7, '风险扣分': -9.0, '市场风格调整': 0.0}",54.24,11.66,7.49,3.33,8.99,29.24,25.0,3.33,-8.99,0.0,0.62,12.42,11.436,10.89,10.118,1.63,18.768,459398021.1,0.0065,0.0,0.0,0.0,0.0,2496265992.0,12.23 - 12.61,9.97,13.41,收盘价高于20日均线22.8%；均线多头排列，MA5/MA10距离5.0%，MA10/MA20距离7.6%；成交量为5日均量1.63倍；成交量为10日均量1.86倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业B11开采专业及辅助性活动热度评分0.00,距离20日均线过远扣6.0分；成交额偏低扣1.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
8,000970,中科三环,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,56.3,"{'MA20评分': 22.2, '均线评分': 22.3, '量能评分': 5.3, '突破评分': 0.7, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -2.1, '市场风格调整': 0.0}",44.42,5.0,5.28,0.69,2.08,22.16,22.26,0.69,-2.08,3.0,5.0,15.93,16.126,15.432,14.868,0.803,9.22,1780980073.28,-0.0701,0.0,0.0,0.0,0.0,19366511994.0,15.69 - 16.17,14.64,17.2,收盘价高于20日均线7.1%；均线多头排列，MA5/MA10距离4.5%，MA10/MA20距离3.8%；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,波动异常扣0.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
9,603118,共进股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,56.2,"{'MA20评分': 22.0, '均线评分': 12.5, '量能评分': 12.8, '突破评分': 4.4, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 8.5, '风险扣分': -3.6, '市场风格调整': 0.0}",34.5,8.54,12.83,4.42,3.59,22.0,12.5,4.42,-3.59,3.0,5.0,14.44,13.072,12.453,12.571,1.966,13.665,1523248424.0,0.0366,0.0,0.0,0.0,0.0,11368271216.0,14.22 - 14.66,12.38,15.6,收盘价高于20日均线14.9%；成交量为5日均量1.97倍；成交量为10日均量2.56倍；突破近20日高点；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣1.6分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
10,605208,永茂泰,C32有色金属冶炼和压延加工业,行业,0,0.0,False,54.6,"{'MA20评分': 22.9, '均线评分': 16.8, '量能评分': 9.5, '突破评分': 5.5, '市值评分': 0.0, '板块热度': 1.9, '资金评分': 11.6, '风险扣分': -2.0, '市场风格调整': 0.0}",39.64,11.57,9.51,5.55,2.0,22.87,16.77,5.55,-2.0,0.0,1.88,17.69,17.024,16.201,15.98,1.725,11.612,665634677.0,0.0051,0.0,0.0,0.0,0.0,5836638600.0,17.42 - 17.96,15.74,19.11,收盘价高于20日均线10.7%；均线多头排列，MA5/MA10距离5.1%，MA10/MA20距离1.4%；成交量为5日均量1.72倍；成交量为10日均量2.35倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C32有色金属冶炼和压延加工业热度评分0.00,大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
