rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,002407,多氟多,C26化学原料和化学制品制造业,行业,0,0.0,False,69.9,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 8.0, '突破评分': 2.0, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -3.1, '市场风格调整': -3.0}",55.0,0.0,7.98,2.0,3.12,30.0,25.0,2.0,-3.12,6.0,5.0,49.34,51.06,46.931,41.969,1.423,22.124,11962936166.4,-0.1419,0.0,0.0,0.0,0.0,53226378582.0,48.60 - 50.08,41.34,53.29,收盘价高于20日均线17.6%；均线多头排列，MA5/MA10距离8.8%，MA10/MA20距离11.8%；成交量为5日均量1.42倍；成交量为10日均量1.26倍；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣3.1分；波动异常扣0.0分；快速轮动，降低追高等级,今日无高确定性机会，建议空仓观察。
2,600378,昊华科技,C26化学原料和化学制品制造业,行业,0,0.0,False,69.9,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 6.4, '突破评分': 2.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -5.5, '市场风格调整': -3.0}",55.0,5.0,6.37,2.0,5.48,30.0,25.0,2.0,-5.48,10.0,5.0,76.01,76.618,71.75,64.474,1.017,9.947,8273815539.0,-0.1372,0.0,0.0,0.0,0.0,81525696054.0,74.87 - 77.15,63.51,82.09,收盘价高于20日均线17.9%；均线多头排列，MA5/MA10距离6.8%，MA10/MA20距离11.3%；成交量为5日均量1.02倍；成交量为10日均量1.10倍；OBV趋势向上；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣3.3分；当日长上影线明显扣0.6分；波动异常扣1.6分；快速轮动，降低追高等级,今日无高确定性机会，建议空仓观察。
3,000021,深科技,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,69.4,"{'MA20评分': 29.7, '均线评分': 25.0, '量能评分': 6.2, '突破评分': 0.9, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -4.4, '市场风格调整': -3.0}",54.68,0.0,6.16,0.93,4.35,29.68,25.0,0.93,-4.35,10.0,5.0,55.91,59.466,54.669,46.983,0.964,14.937,12654340507.8,-0.1554,0.0,0.0,0.0,0.0,88011038478.0,55.07 - 56.75,46.28,60.38,收盘价高于20日均线19.0%；均线多头排列，MA5/MA10距离8.8%，MA10/MA20距离16.4%；成交量为10日均量1.07倍；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣3.9分；波动异常扣0.5分；快速轮动，降低追高等级,今日无高确定性机会，建议空仓观察。
4,603662,柯力传感,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,69.0,"{'MA20评分': 25.8, '均线评分': 16.9, '量能评分': 12.7, '突破评分': 7.4, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 8.6, '风险扣分': -1.9, '市场风格调整': 0.0}",42.78,8.56,12.69,7.43,1.87,25.85,16.93,7.43,-1.87,3.0,5.0,80.0,72.864,70.525,69.345,2.114,12.721,2798273967.0,0.0369,0.0,0.0,0.0,0.0,22466392000.0,78.80 - 81.20,68.3,86.4,收盘价高于20日均线15.4%；均线多头排列，MA5/MA10距离3.3%，MA10/MA20距离1.7%；成交量为5日均量2.11倍；成交量为10日均量2.33倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣1.9分,今日无高确定性机会，建议空仓观察。
5,000725,京东方A,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,68.5,"{'MA20评分': 28.6, '均线评分': 25.0, '量能评分': 5.6, '突破评分': 1.4, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -4.0, '市场风格调整': -3.0}",53.56,5.0,5.64,1.37,4.02,28.56,25.0,1.37,-4.02,10.0,5.0,8.38,8.576,7.896,7.045,0.858,11.718,35597368805.4,-0.1179,0.0,0.0,0.0,0.0,296376583758.0,8.25 - 8.51,6.94,9.05,收盘价高于20日均线18.9%；均线多头排列，MA5/MA10距离8.6%，MA10/MA20距离12.1%；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣3.9分；波动异常扣0.2分；快速轮动，降低追高等级,今日无高确定性机会，建议空仓观察。
6,000970,中科三环,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,68.0,"{'MA20评分': 30.0, '均线评分': 22.2, '量能评分': 8.2, '突破评分': 5.2, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -5.6, '市场风格调整': 0.0}",52.2,10.0,8.21,5.23,5.64,30.0,22.2,5.23,-5.64,3.0,5.0,16.48,15.414,14.953,14.331,1.398,12.105,2420140782.6299996,-0.0237,0.0,0.0,0.0,0.0,20035161184.0,16.23 - 16.73,14.12,17.8,收盘价高于20日均线15.0%；均线多头排列，MA5/MA10距离3.1%，MA10/MA20距离4.3%；成交量为5日均量1.40倍；成交量为10日均量1.38倍；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣1.7分；当日长上影线明显扣3.8分；波动异常扣0.2分,今日无高确定性机会，建议空仓观察。
7,002747,埃斯顿,C34通用设备制造业,行业,0,0.0,False,67.7,"{'MA20评分': 30.0, '均线评分': 24.8, '量能评分': 7.6, '突破评分': 7.8, '市值评分': 6.0, '板块热度': 1.2, '资金评分': 4.1, '风险扣分': -9.8, '市场风格调整': 0.0}",54.85,4.11,7.6,7.76,9.83,30.0,24.85,7.76,-9.83,6.0,1.25,44.77,39.56,38.24,36.163,1.336,16.199,5508068594.23,0.0458,0.0,0.0,0.0,0.0,35028255196.0,44.10 - 45.44,35.62,48.35,收盘价高于20日均线23.8%；均线多头排列，MA5/MA10距离3.5%，MA10/MA20距离5.7%；成交量为5日均量1.34倍；成交量为10日均量1.21倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；行业C34通用设备制造业热度评分0.00,距离20日均线过远扣6.6分；连续涨停风险扣2.7分；波动异常扣0.6分,今日无高确定性机会，建议空仓观察。
8,001309,德明利,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,67.6,"{'MA20评分': 26.6, '均线评分': 25.0, '量能评分': 7.0, '突破评分': 0.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -3.0, '市场风格调整': -3.0}",51.63,5.0,6.98,0.0,3.01,26.63,25.0,0.0,-3.01,10.0,5.0,881.91,899.806,864.311,754.216,1.172,11.995,16987834496.599998,-0.1001,0.0,0.0,0.0,0.0,145575119880.0,868.68 - 895.14,742.9,952.46,收盘价高于20日均线16.9%；均线多头排列，MA5/MA10距离4.1%，MA10/MA20距离14.6%；成交量为5日均量1.17倍；成交量为10日均量1.15倍；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣2.7分；波动异常扣0.3分；快速轮动，降低追高等级,今日无高确定性机会，建议空仓观察。
9,600707,彩虹股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,67.3,"{'MA20评分': 28.3, '均线评分': 25.0, '量能评分': 4.5, '突破评分': 1.4, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -2.9, '市场风格调整': 0.0}",53.3,5.0,4.5,1.37,2.9,28.3,25.0,1.37,-2.9,6.0,5.0,15.02,16.322,14.877,13.142,0.804,7.778,4263479007.0,-0.1815,0.0,0.0,0.0,0.0,53886798894.0,14.79 - 15.25,12.94,16.22,收盘价高于20日均线14.3%；均线多头排列，MA5/MA10距离9.7%，MA10/MA20距离13.2%；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣1.3分；波动异常扣1.6分,今日无高确定性机会，建议空仓观察。
10,601678,滨化股份,C26化学原料和化学制品制造业,行业,0,0.0,False,67.1,"{'MA20评分': 26.3, '均线评分': 25.0, '量能评分': 10.5, '突破评分': 1.9, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -1.8, '市场风格调整': -3.0}",51.35,5.0,10.54,1.94,1.77,26.35,25.0,1.94,-1.77,3.0,5.0,6.93,6.938,6.608,6.172,1.742,20.895,3052366108.0,-0.1,0.0,0.0,0.0,0.0,14160320559.0,6.83 - 7.03,6.08,7.48,收盘价高于20日均线12.3%；均线多头排列，MA5/MA10距离5.0%，MA10/MA20距离7.1%；成交量为5日均量1.74倍；成交量为10日均量1.91倍；OBV趋势向上；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣0.2分；当日放量滞涨扣1.6分；快速轮动，降低追高等级,今日无高确定性机会，建议空仓观察。
11,603078,江化微,C26化学原料和化学制品制造业,行业,0,0.0,False,67.1,"{'MA20评分': 30.0, '均线评分': 24.2, '量能评分': 8.2, '突破评分': 3.9, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -7.1, '市场风格调整': 0.0}",54.16,5.0,8.19,3.92,7.15,30.0,24.16,3.92,-7.15,3.0,5.0,56.26,52.034,49.033,46.863,1.254,19.577,4046044000.0,-0.0288,0.0,0.0,0.0,0.0,21695948872.000004,55.42 - 57.10,46.16,60.76,收盘价高于20日均线20.1%；均线多头排列，MA5/MA10距离6.1%，MA10/MA20距离4.6%；成交量为5日均量1.25倍；成交量为10日均量1.54倍；OBV趋势向上；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣4.5分；当日长上影线明显扣2.6分；波动异常扣0.1分,今日无高确定性机会，建议空仓观察。
