rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,000725,京东方A,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,71.4,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 7.1, '突破评分': 5.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -10.7}",55.0,10.0,7.13,5.0,10.72,30.0,25.0,5.0,-10.72,10.0,5.0,7.95,7.42,6.931,6.427,1.129,11.741,32489059964.600002,-0.0352,0.0,0.0,0.0,0.0,281168716095.0,7.83 - 8.07,6.33,8.59,收盘价高于20日均线23.7%；均线多头排列，MA5/MA10距离7.1%，MA10/MA20距离7.8%；成交量为5日均量1.13倍；成交量为10日均量1.27倍；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣2.5分；距离20日均线过远扣6.5分；当日长上影线明显扣1.6分；波动异常扣0.0分,今日无高确定性机会，建议空仓观察。
2,605358,立昂微,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,71.2,"{'MA20评分': 29.8, '均线评分': 18.2, '量能评分': 8.2, '突破评分': 6.7, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 12.3, '风险扣分': -2.7}",47.96,12.31,8.21,6.7,2.71,29.79,18.16,6.7,-2.71,6.0,5.0,78.89,71.692,70.452,67.493,1.383,17.066,9974889394.0,0.0169,0.0,0.0,0.0,0.0,60918810665.99999,77.71 - 80.07,66.48,85.2,收盘价高于20日均线16.9%；均线多头排列，MA5/MA10距离1.8%，MA10/MA20距离4.4%；成交量为5日均量1.38倍；成交量为10日均量1.40倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣2.7分,今日无高确定性机会，建议空仓观察。
3,600498,烽火通信,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,71.0,"{'MA20评分': 28.1, '均线评分': 22.8, '量能评分': 5.9, '突破评分': 0.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -0.7}",50.88,0.0,5.86,0.0,0.69,28.09,22.78,0.0,-0.69,10.0,5.0,72.07,79.598,77.437,66.292,1.026,9.958,9190098244.0,-0.1771,0.0,0.0,0.0,0.0,91645761505.0,70.99 - 73.15,65.3,77.84,收盘价高于20日均线8.7%；均线多头排列，MA5/MA10距离2.8%，MA10/MA20距离16.8%；成交量为5日均量1.03倍；行业C39计算机、通信和其他电子设备制造业热度评分0.00,波动异常扣0.7分,今日无高确定性机会，建议空仓观察。
4,603773,沃格光电,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,70.9,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 5.8, '突破评分': 0.0, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -0.9}",55.0,10.0,5.83,0.0,0.92,30.0,25.0,0.0,-0.92,6.0,5.0,163.35,170.572,164.404,148.251,0.971,13.128,5024751143.0,-0.1311,0.0,0.0,0.0,0.0,36701249310.0,160.90 - 165.80,146.03,176.42,收盘价高于20日均线10.2%；均线多头排列，MA5/MA10距离3.8%，MA10/MA20距离10.9%；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,波动异常扣0.9分,今日无高确定性机会，建议空仓观察。
5,002106,莱宝高科,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,70.2,"{'MA20评分': 28.5, '均线评分': 21.0, '量能评分': 10.0, '突破评分': 5.8, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 12.5, '风险扣分': -3.1}",49.44,12.49,10.04,5.83,3.15,28.49,20.96,5.83,-3.15,3.0,5.0,15.93,14.824,14.504,13.605,1.641,15.097,1705494776.66,0.0198,0.0,0.0,0.0,0.0,11229096825.000002,15.69 - 16.17,13.4,17.2,收盘价高于20日均线17.1%；均线多头排列，MA5/MA10距离2.2%，MA10/MA20距离6.6%；成交量为5日均量1.64倍；成交量为10日均量1.83倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣0.2分；距离20日均线过远扣2.8分；当日放量滞涨扣0.1分,今日无高确定性机会，建议空仓观察。
6,600522,中天科技,C38电气机械和器材制造业,行业,0,0.0,False,69.7,"{'MA20评分': 28.5, '均线评分': 25.0, '量能评分': 5.9, '突破评分': 0.1, '市值评分': 10.0, '板块热度': 3.1, '资金评分': 5.0, '风险扣分': -2.9}",53.47,5.0,5.86,0.1,2.85,28.47,25.0,0.1,-2.85,10.0,3.12,58.84,62.374,58.846,52.997,0.977,9.353,18850851602.0,-0.136,0.0,0.0,0.0,0.0,200817960348.0,57.96 - 59.72,52.2,63.55,收盘价高于20日均线11.0%；均线多头排列，MA5/MA10距离6.0%，MA10/MA20距离11.0%；成交量为10日均量1.00倍；OBV趋势向上；行业C38电气机械和器材制造业热度评分0.00,当日长上影线明显扣2.4分；波动异常扣0.4分,今日无高确定性机会，建议空仓观察。
7,600105,永鼎股份,C38电气机械和器材制造业,行业,0,0.0,False,69.3,"{'MA20评分': 26.5, '均线评分': 25.0, '量能评分': 5.2, '突破评分': 0.2, '市值评分': 10.0, '板块热度': 3.1, '资金评分': 5.0, '风险扣分': -0.7}",51.55,5.0,5.17,0.15,0.68,26.55,25.0,0.15,-0.68,10.0,3.12,63.1,66.6,63.432,57.825,0.88,8.745,8086370496.0,-0.147,0.0,0.0,0.0,0.0,92251871879.99998,62.15 - 64.05,56.96,68.15,收盘价高于20日均线9.1%；均线多头排列，MA5/MA10距离5.0%，MA10/MA20距离9.7%；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,波动异常扣0.7分,今日无高确定性机会，建议空仓观察。
8,603005,晶方科技,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,68.0,"{'MA20评分': 23.1, '均线评分': 25.0, '量能评分': 7.9, '突破评分': 1.0, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -0.0}",48.14,5.0,7.87,1.03,0.0,23.14,25.0,1.03,-0.0,6.0,5.0,48.97,49.642,47.471,45.197,1.185,22.302,7345977601.0,-0.072,0.0,0.0,0.0,0.0,31936848149.0,48.24 - 49.70,44.52,52.89,收盘价高于20日均线8.3%；均线多头排列，MA5/MA10距离4.6%，MA10/MA20距离5.0%；成交量为5日均量1.18倍；成交量为10日均量1.50倍；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,,今日无高确定性机会，建议空仓观察。
9,600703,三安光电,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,67.8,"{'MA20评分': 28.3, '均线评分': 25.0, '量能评分': 7.0, '突破评分': 1.6, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -9.0}",53.28,5.0,6.99,1.6,9.03,28.28,25.0,1.6,-9.03,10.0,5.0,21.06,21.22,19.224,17.527,1.104,10.577,11258664166.0,-0.0915,0.0,0.0,0.0,0.0,105068733822.00002,20.74 - 21.38,17.26,22.74,收盘价高于20日均线20.2%；均线多头排列，MA5/MA10距离10.4%，MA10/MA20距离9.7%；成交量为5日均量1.10倍；成交量为10日均量1.24倍；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣4.3分；距离20日均线过远扣4.5分；波动异常扣0.2分,今日无高确定性机会，建议空仓观察。
10,000636,风华高科,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,67.7,"{'MA20评分': 30.0, '均线评分': 24.1, '量能评分': 6.1, '突破评分': 5.7, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 11.0, '风险扣分': -13.2}",54.09,11.05,6.09,5.69,13.15,30.0,24.09,5.69,-13.15,10.0,5.0,80.27,76.196,73.826,66.838,1.044,12.664,11781353978.7,-0.0032,0.0,0.0,0.0,0.0,92873441537.0,79.07 - 81.47,65.83,86.69,收盘价高于20日均线20.1%；均线多头排列，MA5/MA10距离3.2%，MA10/MA20距离10.5%；成交量为5日均量1.04倍；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣1.2分；距离20日均线过远扣4.5分；当日长上影线明显扣6.8分；波动异常扣0.7分,今日无高确定性机会，建议空仓观察。
11,002559,亚威股份,C34通用设备制造业,行业,0,0.0,False,67.6,"{'MA20评分': 28.3, '均线评分': 25.0, '量能评分': 15.0, '突破评分': 8.1, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 14.8, '风险扣分': -9.4}",53.28,14.75,15.0,8.13,9.36,28.28,25.0,8.13,-9.36,0.0,0.62,13.0,11.584,11.027,10.414,2.76,33.726,2139614560.11,0.0561,0.0,0.0,0.0,0.0,6552065000.0,12.80 - 13.19,10.26,14.04,收盘价高于20日均线24.8%；均线多头排列，MA5/MA10距离5.1%，MA10/MA20距离5.9%；成交量为5日均量2.76倍；成交量为10日均量3.18倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C34通用设备制造业热度评分0.00,最近10日涨幅过大扣1.5分；距离20日均线过远扣7.1分；当日长上影线明显扣0.7分,今日无高确定性机会，建议空仓观察。
12,603690,至纯科技,C35专用设备制造业,行业,0,0.0,False,67.4,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 8.8, '突破评分': 5.0, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 5.0, '风险扣分': -7.5}",55.0,5.0,8.8,5.02,7.47,30.0,25.0,5.02,-7.47,3.0,3.12,35.39,33.644,31.351,28.881,1.349,18.939,2567729338.0,-0.0218,0.0,0.0,0.0,0.0,13553106577.000002,34.86 - 35.92,28.45,38.22,收盘价高于20日均线22.5%；均线多头排列，MA5/MA10距离7.3%，MA10/MA20距离8.6%；成交量为5日均量1.35倍；成交量为10日均量1.67倍；OBV趋势向上；行业C35专用设备制造业热度评分0.00,最近10日涨幅过大扣0.5分；距离20日均线过远扣5.9分；当日长上影线明显扣1.1分,今日无高确定性机会，建议空仓观察。
