rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,603823,百合花,C26化学原料和化学制品制造业,行业,0,0.0,False,70.3,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 6.9, '突破评分': 8.3, '市值评分': 6.0, '板块热度': 3.1, '资金评分': 15.0, '风险扣分': -9.0, '市场风格调整': 0.0}",55.0,15.0,6.9,8.32,9.04,30.0,25.0,8.32,-9.04,6.0,3.12,81.93,72.842,70.176,64.332,1.27,7.865,2541039870.0,0.0613,0.0,0.0,0.0,0.0,34113005661.0,80.70 - 83.16,63.37,88.48,收盘价高于20日均线27.4%；均线多头排列，MA5/MA10距离3.8%，MA10/MA20距离9.1%；成交量为5日均量1.27倍；成交量为10日均量1.22倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣8.5分；波动异常扣0.5分,今日无高确定性机会，建议空仓观察。
2,000938,紫光股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,68.2,"{'MA20评分': 30.0, '均线评分': 18.5, '量能评分': 7.0, '突破评分': 7.2, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 8.1, '风险扣分': -11.5, '市场风格调整': 2.0}",48.53,8.08,7.0,7.16,11.47,30.0,18.53,7.16,-11.47,10.0,5.0,41.46,37.68,37.149,33.114,1.17,17.576,19306041647.399998,0.0293,0.0,0.0,0.0,0.0,118578614142.0,40.84 - 42.08,32.62,44.78,收盘价高于20日均线25.2%；均线多头排列，MA5/MA10距离1.4%，MA10/MA20距离12.2%；成交量为5日均量1.17倍；成交量为10日均量1.16倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00；科技成长主线占优，顺势加分,最近10日涨幅过大扣0.3分；距离20日均线过远扣7.3分；连续涨停风险扣2.7分；波动异常扣1.1分,今日无高确定性机会，建议空仓观察。
3,603127,昭衍新药,M73研究和试验发展,行业,0,0.0,False,65.5,"{'MA20评分': 27.8, '均线评分': 25.0, '量能评分': 7.1, '突破评分': 1.2, '市值评分': 6.0, '板块热度': 0.6, '资金评分': 10.0, '风险扣分': -2.2, '市场风格调整': 0.0}",52.77,10.0,7.08,1.25,2.17,27.77,25.0,1.25,-2.17,6.0,0.62,49.12,49.584,45.736,42.527,1.053,12.387,3612501784.0,-0.1178,0.0,0.0,0.0,0.0,30962939360.000004,48.38 - 49.86,41.89,53.05,收盘价高于20日均线15.5%；均线多头排列，MA5/MA10距离8.4%，MA10/MA20距离7.5%；成交量为5日均量1.05倍；成交量为10日均量1.34倍；OBV趋势向上；OBV接近或创阶段新高；行业M73研究和试验发展热度评分0.00,距离20日均线过远扣1.9分；波动异常扣0.2分,今日无高确定性机会，建议空仓观察。
4,000977,浪潮信息,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,65.2,"{'MA20评分': 28.9, '均线评分': 12.5, '量能评分': 7.0, '突破评分': 2.9, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -3.2, '市场风格调整': 2.0}",41.43,5.0,6.96,2.95,3.17,28.93,12.5,2.95,-3.17,10.0,5.0,88.66,83.41,84.117,75.621,1.167,12.675,15518432333.900002,-0.0606,0.0,0.0,0.0,0.0,130049307388.0,87.33 - 89.99,74.49,95.75,收盘价高于20日均线17.2%；成交量为5日均量1.17倍；成交量为10日均量1.15倍；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00；科技成长主线占优，顺势加分,距离20日均线过远扣2.9分；波动异常扣0.3分,今日无高确定性机会，建议空仓观察。
5,600267,海正药业,C27医药制造业,行业,0,0.0,False,64.6,"{'MA20评分': 24.4, '均线评分': 24.4, '量能评分': 7.5, '突破评分': 2.1, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 5.0, '风险扣分': -0.0, '市场风格调整': 0.0}",48.84,5.0,7.54,2.15,0.0,24.4,24.44,2.15,-0.0,3.0,3.12,12.18,11.984,11.452,10.932,1.344,7.881,1114001710.0,-0.0217,0.0,0.0,0.0,0.0,14375714178.0,12.00 - 12.36,10.77,13.15,收盘价高于20日均线11.4%；均线多头排列，MA5/MA10距离4.6%，MA10/MA20距离4.8%；成交量为5日均量1.34倍；成交量为10日均量1.77倍；OBV趋势向上；行业C27医药制造业热度评分0.00,,今日无高确定性机会，建议空仓观察。
6,600602,云赛智联,I65软件和信息技术服务业,行业,0,0.0,False,63.1,"{'MA20评分': 19.6, '均线评分': 24.2, '量能评分': 9.5, '突破评分': 2.4, '市值评分': 3.0, '板块热度': 3.8, '资金评分': 5.1, '风险扣分': -1.3, '市场风格调整': 2.0}",43.81,5.1,9.46,2.42,1.25,19.61,24.2,2.42,-1.25,3.0,3.75,19.14,18.34,17.613,16.83,1.556,9.25,1869151414.0,-0.0185,0.0,0.0,0.0,0.0,20562159420.0,18.85 - 19.43,16.58,20.67,收盘价高于20日均线13.7%；均线多头排列，MA5/MA10距离4.1%，MA10/MA20距离4.6%；成交量为5日均量1.56倍；成交量为10日均量1.77倍；OBV趋势向上；行业I65软件和信息技术服务业热度评分0.00；科技成长主线占优，顺势加分,距离20日均线过远扣1.0分；当日放量滞涨扣0.3分,今日无高确定性机会，建议空仓观察。
7,000676,智度股份,L72商务服务业,行业,0,0.0,False,60.6,"{'MA20评分': 25.5, '均线评分': 25.0, '量能评分': 14.2, '突破评分': 3.5, '市值评分': 0.0, '板块热度': 1.2, '资金评分': 12.0, '风险扣分': -8.8, '市场风格调整': 0.0}",50.47,11.98,14.24,3.52,8.8,25.47,25.0,3.52,-8.8,0.0,1.25,6.92,6.394,5.792,5.501,2.243,22.481,1941248652.49,0.0117,0.0,0.0,0.0,0.0,8712477220.0,6.82 - 7.02,5.42,7.47,收盘价高于20日均线25.8%；均线多头排列，MA5/MA10距离10.4%，MA10/MA20距离5.3%；成交量为5日均量2.24倍；成交量为10日均量3.58倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业L72商务服务业热度评分0.00,最近10日涨幅过大扣1.1分；距离20日均线过远扣7.7分,今日无高确定性机会，建议空仓观察。
8,603567,珍宝岛,C27医药制造业,行业,0,0.0,False,59.4,"{'MA20评分': 27.2, '均线评分': 25.0, '量能评分': 8.3, '突破评分': 3.9, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 7.7, '风险扣分': -8.1, '市场风格调整': 0.0}",52.19,7.7,8.32,3.94,8.14,27.19,25.0,3.94,-8.14,0.0,3.12,6.17,5.682,5.217,4.909,1.562,11.18,595489078.0,0.0232,0.0,0.0,0.0,0.0,5796118361.0,6.08 - 6.26,4.84,6.66,收盘价高于20日均线25.7%；均线多头排列，MA5/MA10距离8.9%，MA10/MA20距离6.3%；成交量为5日均量1.56倍；成交量为10日均量2.13倍；突破近20日高点；OBV趋势向上；行业C27医药制造业热度评分0.00,最近10日涨幅过大扣0.5分；距离20日均线过远扣7.6分,今日无高确定性机会，建议空仓观察。
9,002396,星网锐捷,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,56.4,"{'MA20评分': 30.0, '均线评分': 17.5, '量能评分': 7.7, '突破评分': 2.5, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 5.7, '风险扣分': -11.3, '市场风格调整': 2.0}",47.51,5.7,7.66,2.55,11.27,30.0,17.51,2.55,-11.27,3.0,5.0,31.61,29.266,28.947,24.965,1.202,28.705,6550440679.440001,-0.0088,0.0,0.0,0.0,0.0,23941891311.0,31.14 - 32.08,24.59,34.14,收盘价高于20日均线26.6%；均线多头排列，MA5/MA10距离1.1%，MA10/MA20距离15.9%；成交量为5日均量1.20倍；成交量为10日均量1.39倍；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00；科技成长主线占优，顺势加分,距离20日均线过远扣8.1分；连续涨停风险扣2.7分；波动异常扣0.5分,今日无高确定性机会，建议空仓观察。
10,603893,瑞芯微,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,55.7,"{'MA20评分': 18.4, '均线评分': 13.6, '量能评分': 6.7, '突破评分': 0.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -0.0, '市场风格调整': 2.0}",31.95,10.0,6.75,0.0,0.0,18.37,13.58,0.0,-0.0,10.0,5.0,208.05,210.158,210.486,196.87,1.234,8.119,6993016911.0,-0.1015,0.0,0.0,0.0,0.0,87982982273.0,204.93 - 211.17,193.92,224.69,收盘价高于20日均线5.7%；成交量为5日均量1.23倍；成交量为10日均量1.18倍；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00；科技成长主线占优，顺势加分,,今日无高确定性机会，建议空仓观察。
