rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,600756,浪潮软件,I65软件和信息技术服务业,行业,0,0.0,False,64.2,"{'MA20评分': 27.5, '均线评分': 25.0, '量能评分': 4.8, '突破评分': 2.6, '市值评分': 0.0, '板块热度': 3.8, '资金评分': 10.5, '风险扣分': -1.5, '市场风格调整': 2.0}",52.52,10.47,4.85,2.64,1.48,27.52,25.0,2.64,-1.48,0.0,3.75,16.59,15.972,15.248,14.469,1.029,14.683,765042832.0,-0.0125,0.0,0.0,0.0,0.0,5376799092.0,16.34 - 16.84,14.25,17.92,收盘价高于20日均线14.7%；均线多头排列，MA5/MA10距离4.7%，MA10/MA20距离5.4%；成交量为5日均量1.03倍；成交量为10日均量1.20倍；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00；科技成长主线占优，顺势加分,距离20日均线过远扣1.5分,今日无高确定性机会，建议空仓观察。
2,600986,浙文互联,I64互联网和相关服务,行业,0,0.0,False,61.6,"{'MA20评分': 23.3, '均线评分': 21.3, '量能评分': 12.1, '突破评分': 3.4, '市值评分': 3.0, '板块热度': 1.9, '资金评分': 11.8, '风险扣分': -3.4, '市场风格调整': 0.0}",44.58,11.81,12.08,3.42,3.41,23.33,21.25,3.42,-3.41,3.0,1.88,7.89,7.368,7.045,6.816,1.998,13.314,1566667227.0,0.009,0.0,0.0,0.0,0.0,11735381649.0,7.77 - 8.01,6.71,8.52,收盘价高于20日均线15.7%；均线多头排列，MA5/MA10距离4.6%，MA10/MA20距离3.4%；成交量为5日均量2.00倍；成交量为10日均量2.22倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业I64互联网和相关服务热度评分0.00,距离20日均线过远扣2.1分；当日放量滞涨扣1.3分,今日无高确定性机会，建议空仓观察。
3,000676,智度股份,L72商务服务业,行业,0,0.0,False,61.2,"{'MA20评分': 30.0, '均线评分': 23.7, '量能评分': 7.0, '突破评分': 2.8, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 10.0, '风险扣分': -5.3, '市场风格调整': 0.0}",53.68,10.0,7.04,2.75,5.35,30.0,23.68,2.75,-5.35,0.0,3.12,7.59,7.302,7.084,6.347,1.235,17.182,1649923082.8,-0.0294,0.0,0.0,0.0,0.0,9556026315.0,7.48 - 7.70,6.25,8.2,收盘价高于20日均线19.6%；均线多头排列，MA5/MA10距离3.1%，MA10/MA20距离11.6%；成交量为5日均量1.24倍；成交量为10日均量1.10倍；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业L72商务服务业热度评分0.00,距离20日均线过远扣4.2分；当日长上影线明显扣0.8分；波动异常扣0.4分,今日无高确定性机会，建议空仓观察。
4,002882,金龙羽,C38电气机械和器材制造业,行业,0,0.0,False,60.0,"{'MA20评分': 27.0, '均线评分': 24.6, '量能评分': 12.3, '突破评分': 4.2, '市值评分': 0.0, '板块热度': 5.0, '资金评分': 13.1, '风险扣分': -13.0, '市场风格调整': 0.0}",51.57,13.1,12.26,4.17,12.96,26.99,24.59,4.17,-12.96,0.0,5.0,23.98,21.142,19.12,18.241,2.294,11.501,646135970.11,0.0296,0.0,0.0,0.0,0.0,5917846748.0,23.62 - 24.34,17.97,25.9,收盘价高于20日均线31.5%；均线多头排列，MA5/MA10距离10.6%，MA10/MA20距离4.8%；成交量为5日均量2.29倍；成交量为10日均量3.21倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣3.0分；距离20日均线过远扣10.0分,今日无高确定性机会，建议空仓观察。
5,600588,用友网络,I65软件和信息技术服务业,行业,0,0.0,False,59.2,"{'MA20评分': 24.5, '均线评分': 20.3, '量能评分': 14.3, '突破评分': 3.5, '市值评分': 6.0, '板块热度': 3.8, '资金评分': 11.9, '风险扣分': -15.0, '市场风格调整': 2.0}",44.78,11.93,14.27,3.48,15.0,24.48,20.3,3.48,-15.0,6.0,3.75,11.2,10.322,9.825,9.545,3.267,7.085,2755613258.0,0.0108,0.0,0.0,0.0,0.0,38270370880.0,11.03 - 11.37,9.4,12.1,收盘价高于20日均线17.3%；均线多头排列，MA5/MA10距离5.1%，MA10/MA20距离2.9%；成交量为5日均量3.27倍；成交量为10日均量3.54倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00；科技成长主线占优，顺势加分,距离20日均线过远扣3.0分；当日长上影线明显扣8.5分；当日放量滞涨扣3.5分,今日无高确定性机会，建议空仓观察。
6,002498,汉缆股份,C38电气机械和器材制造业,行业,0,0.0,False,57.7,"{'MA20评分': 21.8, '均线评分': 25.0, '量能评分': 6.1, '突破评分': 1.3, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 0.6, '风险扣分': -4.5, '市场风格调整': 0.0}",46.79,0.57,6.07,1.26,4.46,21.79,25.0,1.26,-4.46,3.0,5.0,7.24,6.952,6.508,6.139,0.906,6.963,1644071681.56,-0.0109,0.0,0.0,0.0,0.0,24086003040.0,7.13 - 7.35,6.05,7.82,收盘价高于20日均线17.9%；均线多头排列，MA5/MA10距离6.8%，MA10/MA20距离6.0%；成交量为10日均量1.41倍；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣1.2分；距离20日均线过远扣3.3分,今日无高确定性机会，建议空仓观察。
7,000948,南天信息,I65软件和信息技术服务业,行业,0,0.0,False,57.6,"{'MA20评分': 25.7, '均线评分': 20.7, '量能评分': 3.5, '突破评分': 2.0, '市值评分': 0.0, '板块热度': 3.8, '资金评分': 5.0, '风险扣分': -0.0, '市场风格调整': 2.0}",46.42,5.0,3.49,2.0,0.0,25.69,20.73,2.0,-0.0,0.0,3.75,15.19,14.976,14.317,13.884,0.954,8.727,510922962.15,-0.0583,0.0,0.0,0.0,0.0,5911177867.000001,14.96 - 15.42,13.68,16.41,收盘价高于20日均线9.4%；均线多头排列，MA5/MA10距离4.6%，MA10/MA20距离3.1%；成交量为10日均量1.13倍；OBV趋势向上；行业I65软件和信息技术服务业热度评分0.00；科技成长主线占优，顺势加分,,今日无高确定性机会，建议空仓观察。
8,002279,久其软件,I65软件和信息技术服务业,行业,0,0.0,False,57.5,"{'MA20评分': 24.7, '均线评分': 25.0, '量能评分': 2.8, '突破评分': 2.0, '市值评分': 0.0, '板块热度': 3.8, '资金评分': 10.0, '风险扣分': -2.8, '市场风格调整': 2.0}",49.69,10.0,2.84,2.02,2.78,24.69,25.0,2.02,-2.78,0.0,3.75,6.9,6.748,6.328,6.018,0.815,8.202,447945705.02,-0.0295,0.0,0.0,0.0,0.0,5488945170.0,6.80 - 7.00,5.93,7.45,收盘价高于20日均线14.7%；均线多头排列，MA5/MA10距离6.6%，MA10/MA20距离5.2%；成交量为10日均量1.15倍；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00；科技成长主线占优，顺势加分,距离20日均线过远扣1.5分；成交额偏低扣1.3分,今日无高确定性机会，建议空仓观察。
9,002400,省广集团,L72商务服务业,行业,0,0.0,False,56.6,"{'MA20评分': 21.3, '均线评分': 19.4, '量能评分': 7.5, '突破评分': 2.4, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 10.1, '风险扣分': -0.0, '市场风格调整': 0.0}",40.65,10.08,7.46,2.41,0.01,21.29,19.36,2.41,-0.01,3.0,3.12,6.8,6.468,6.223,6.07,1.367,8.722,1016498252.7299999,-0.0188,0.0,0.0,0.0,0.0,11737919280.0,6.70 - 6.90,5.98,7.34,收盘价高于20日均线12.0%；均线多头排列，MA5/MA10距离3.9%，MA10/MA20距离2.5%；成交量为5日均量1.37倍；成交量为10日均量1.73倍；OBV趋势向上；OBV接近或创阶段新高；行业L72商务服务业热度评分0.00,距离20日均线过远扣0.0分,今日无高确定性机会，建议空仓观察。
10,002212,天融信,I65软件和信息技术服务业,行业,0,0.0,False,55.9,"{'MA20评分': 22.9, '均线评分': 21.8, '量能评分': 4.9, '突破评分': 2.0, '市值评分': 0.0, '板块热度': 3.8, '资金评分': 10.0, '风险扣分': -1.5, '市场风格调整': 2.0}",44.66,10.0,4.95,2.0,1.55,22.88,21.78,2.0,-1.55,0.0,3.75,6.6,6.412,5.956,5.75,1.044,8.116,626887112.57,-0.0379,0.0,0.0,0.0,0.0,7701169958.0,6.50 - 6.70,5.66,7.13,收盘价高于20日均线14.8%；均线多头排列，MA5/MA10距离7.7%，MA10/MA20距离3.6%；成交量为5日均量1.04倍；成交量为10日均量1.55倍；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00；科技成长主线占优，顺势加分,距离20日均线过远扣1.5分；当日长上影线明显扣0.0分,今日无高确定性机会，建议空仓观察。
