rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,600267,海正药业,C27医药制造业,行业,0,0.0,False,67.4,"{'MA20评分': 26.2, '均线评分': 23.6, '量能评分': 9.7, '突破评分': 6.3, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 12.2, '风险扣分': -6.4, '市场风格调整': 0.0}",49.84,12.17,9.66,6.32,6.38,26.19,23.65,6.32,-6.38,3.0,5.0,12.45,11.866,11.295,10.818,1.573,8.523,1228162423.0,0.0147,0.0,0.0,0.0,0.0,14694387645.0,12.26 - 12.64,10.66,13.45,收盘价高于20日均线15.1%；均线多头排列，MA5/MA10距离5.1%，MA10/MA20距离4.4%；成交量为5日均量1.57倍；成交量为10日均量2.18倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C27医药制造业热度评分0.00,距离20日均线过远扣1.7分；连续涨停风险扣2.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
2,603127,昭衍新药,M73研究和试验发展,行业,0,0.0,False,63.0,"{'MA20评分': 25.9, '均线评分': 25.0, '量能评分': 9.1, '突破评分': 1.6, '市值评分': 3.0, '板块热度': 0.6, '资金评分': 5.0, '风险扣分': -2.1, '市场风格调整': 0.0}",50.86,5.0,9.08,1.61,2.15,25.86,25.0,1.61,-2.15,3.0,0.62,47.0,48.964,44.747,41.897,1.371,14.992,4328106851.0,-0.1559,0.0,0.0,0.0,0.0,29626591000.0,46.30 - 47.70,41.27,50.76,收盘价高于20日均线12.2%；均线多头排列，MA5/MA10距离9.4%，MA10/MA20距离6.8%；成交量为5日均量1.37倍；成交量为10日均量1.76倍；OBV趋势向上；行业M73研究和试验发展热度评分0.00,距离20日均线过远扣0.1分；波动异常扣0.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
3,000938,紫光股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,62.6,"{'MA20评分': 28.0, '均线评分': 19.5, '量能评分': 7.1, '突破评分': 0.7, '市值评分': 10.0, '板块热度': 2.5, '资金评分': 0.0, '风险扣分': -5.3, '市场风格调整': 0.0}",47.56,0.0,7.14,0.69,5.29,28.02,19.53,0.69,-5.29,10.0,2.5,37.69,36.784,36.151,32.387,1.175,17.578,19188179650.199997,-0.0643,0.0,0.0,0.0,0.0,107796140063.0,37.12 - 38.26,31.9,40.71,收盘价高于20日均线16.4%；均线多头排列，MA5/MA10距离1.8%，MA10/MA20距离11.6%；成交量为5日均量1.18倍；成交量为10日均量1.22倍；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣2.4分；波动异常扣0.9分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
4,001206,依依股份,C41其他制造业,行业,0,0.0,False,60.8,"{'MA20评分': 30.0, '均线评分': 24.8, '量能评分': 7.2, '突破评分': 7.0, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 15.0, '风险扣分': -8.9, '市场风格调整': 0.0}",54.85,15.0,7.21,6.97,8.85,30.0,24.85,6.97,-8.85,0.0,0.62,23.95,21.986,20.97,19.984,1.694,17.867,439162808.19,0.0654,0.0,0.0,0.0,0.0,2559404775.0,23.59 - 24.31,19.68,25.87,收盘价高于20日均线19.8%；均线多头排列，MA5/MA10距离4.8%，MA10/MA20距离4.9%；成交量为5日均量1.69倍；成交量为10日均量1.69倍；突破近20日高点；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业C41其他制造业热度评分0.00,最近10日涨幅过大扣1.0分；距离20日均线过远扣4.4分；成交额偏低扣1.5分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
5,600664,哈药股份,C27医药制造业,行业,0,0.0,False,58.7,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 13.3, '突破评分': 4.9, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -22.5, '市场风格调整': 0.0}",55.0,5.0,13.32,4.91,22.52,30.0,25.0,4.91,-22.52,3.0,5.0,5.31,4.83,4.045,3.565,1.928,29.457,3863264285.0,-0.0221,0.0,0.0,0.0,0.0,13373287569.0,5.23 - 5.39,3.51,5.73,收盘价高于20日均线49.0%；均线多头排列，MA5/MA10距离19.4%，MA10/MA20距离13.5%；成交量为5日均量1.93倍；成交量为10日均量3.36倍；OBV趋势向上；行业C27医药制造业热度评分0.00,最近10日涨幅过大扣7.4分；距离20日均线过远扣10.0分；当日长上影线明显扣1.1分；当日放量滞涨扣2.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
6,000948,南天信息,I65软件和信息技术服务业,行业,0,0.0,False,58.5,"{'MA20评分': 22.9, '均线评分': 25.0, '量能评分': 9.5, '突破评分': 3.9, '市值评分': 0.0, '板块热度': 1.9, '资金评分': 12.8, '风险扣分': -4.6, '市场风格调整': 0.0}",47.91,12.79,9.5,3.86,4.64,22.91,25.0,3.86,-4.64,0.0,1.88,14.94,13.982,13.45,12.796,1.99,8.947,509035939.23999995,0.0247,0.0,0.0,0.0,0.0,5813890542.0,14.72 - 15.16,12.6,16.14,收盘价高于20日均线16.8%；均线多头排列，MA5/MA10距离4.0%，MA10/MA20距离5.1%；成交量为5日均量1.99倍；成交量为10日均量2.30倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00,距离20日均线过远扣2.6分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
7,600881,亚泰集团,C30非金属矿物制品业,行业,0,0.0,False,57.9,"{'MA20评分': 25.5, '均线评分': 18.8, '量能评分': 13.1, '突破评分': 6.7, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 12.3, '风险扣分': -6.9, '市场风格调整': 0.0}",44.36,12.26,13.08,6.68,6.86,25.53,18.83,6.68,-6.86,0.0,0.62,1.89,1.758,1.634,1.597,2.414,13.203,834741647.0,0.0161,0.0,0.0,0.0,0.0,6108765390.0,1.86 - 1.92,1.57,2.04,收盘价高于20日均线18.3%；均线多头排列，MA5/MA10距离7.6%，MA10/MA20距离2.3%；成交量为5日均量2.41倍；成交量为10日均量4.03倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C30非金属矿物制品业热度评分0.00,距离20日均线过远扣3.5分；当日放量滞涨扣1.4分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
8,603823,百合花,C26化学原料和化学制品制造业,行业,0,0.0,False,57.5,"{'MA20评分': 30.0, '均线评分': 16.4, '量能评分': 7.2, '突破评分': 6.4, '市值评分': 6.0, '板块热度': 2.5, '资金评分': 11.7, '风险扣分': -11.0, '市场风格调整': 0.0}",46.43,11.75,7.24,6.38,11.01,30.0,16.43,6.38,-11.01,6.0,2.5,77.2,69.752,69.228,62.845,1.362,7.894,2399259860.0,0.008,0.0,0.0,0.0,0.0,32143586440.0,76.04 - 78.36,61.9,83.38,收盘价高于20日均线22.8%；均线多头排列，MA5/MA10距离0.8%，MA10/MA20距离10.2%；成交量为5日均量1.36倍；成交量为10日均量1.24倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣6.0分；连续涨停风险扣2.7分；波动异常扣0.3分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
9,603893,瑞芯微,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,53.8,"{'MA20评分': 19.5, '均线评分': 18.8, '量能评分': 6.5, '突破评分': 0.0, '市值评分': 10.0, '板块热度': 2.5, '资金评分': 5.0, '风险扣分': -3.5, '市场风格调整': 0.0}",38.36,5.0,6.46,0.0,3.52,19.54,18.82,0.0,-3.52,10.0,2.5,208.0,211.93,208.752,195.476,1.205,7.51,6571006496.0,-0.1017,0.0,0.0,0.0,0.0,87961837600.0,204.88 - 211.12,192.54,224.64,收盘价高于20日均线6.4%；均线多头排列，MA5/MA10距离1.5%，MA10/MA20距离6.8%；成交量为5日均量1.21倍；成交量为10日均量1.16倍；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,当日长上影线明显扣1.5分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
10,002396,星网锐捷,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,52.8,"{'MA20评分': 30.0, '均线评分': 16.7, '量能评分': 7.8, '突破评分': 0.2, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 0.0, '风险扣分': -7.3, '市场风格调整': 0.0}",46.67,0.0,7.78,0.16,7.34,30.0,16.67,0.16,-7.34,3.0,2.5,28.74,28.668,28.431,24.339,1.193,26.909,6124316745.83,-0.0988,0.0,0.0,0.0,0.0,21768109974.000004,28.31 - 29.17,23.97,31.04,收盘价高于20日均线18.1%；均线多头排列，MA5/MA10距离0.8%，MA10/MA20距离16.8%；成交量为5日均量1.19倍；成交量为10日均量1.45倍；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣3.4分；当日长上影线明显扣1.7分；波动异常扣0.3分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
