rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,600664,哈药股份,C27医药制造业,行业,0,0.0,False,64.0,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 15.0, '突破评分': 9.0, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 15.0, '风险扣分': -22.9, '市场风格调整': 0.0}",55.0,15.0,15.0,8.96,22.95,30.0,25.0,8.96,-22.95,3.0,5.0,5.33,4.51,3.832,3.453,3.8,34.705,4522777492.0,0.0789,0.0,0.0,0.0,0.0,13423657767.0,5.25 - 5.41,3.4,5.76,收盘价高于20日均线54.4%；均线多头排列，MA5/MA10距离17.7%，MA10/MA20距离11.0%；成交量为5日均量3.80倍；成交量为10日均量6.33倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C27医药制造业热度评分0.00,最近10日涨幅过大扣7.9分；距离20日均线过远扣10.0分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
2,603567,珍宝岛,C27医药制造业,行业,0,0.0,False,54.6,"{'MA20评分': 27.2, '均线评分': 21.5, '量能评分': 12.8, '突破评分': 6.0, '市值评分': 0.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -17.9, '市场风格调整': 0.0}",48.72,10.0,12.78,6.0,17.9,27.2,21.52,6.0,-17.9,0.0,5.0,6.03,5.236,4.967,4.8,2.536,11.122,610427925.0,0.1004,0.0,0.0,0.0,0.0,5664601899.0,5.94 - 6.12,4.73,6.51,收盘价高于20日均线25.6%；均线多头排列，MA5/MA10距离5.4%，MA10/MA20距离3.5%；成交量为5日均量2.54倍；成交量为10日均量2.97倍；突破近20日高点；OBV趋势向上；行业C27医药制造业热度评分0.00,距离20日均线过远扣7.6分；连续涨停风险扣5.3分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
3,002396,星网锐捷,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,53.3,"{'MA20评分': 30.0, '均线评分': 20.6, '量能评分': 8.5, '突破评分': 1.6, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 5.0, '风险扣分': -13.4, '市场风格调整': 0.0}",50.58,5.0,8.51,1.58,13.44,30.0,20.58,1.58,-13.44,3.0,3.12,29.95,28.718,28.131,23.904,1.272,26.431,5993682670.57,-0.0608,0.0,0.0,0.0,0.0,22684582245.0,29.50 - 30.40,23.54,32.35,收盘价高于20日均线25.3%；均线多头排列，MA5/MA10距离2.1%，MA10/MA20距离17.7%；成交量为5日均量1.27倍；成交量为10日均量1.65倍；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣7.4分；当日长上影线明显扣1.0分；波动异常扣0.1分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
4,000779,甘咨询,M74专业技术服务业,行业,0,0.0,False,50.9,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 7.6, '突破评分': 8.5, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 15.0, '风险扣分': -20.8, '市场风格调整': 0.0}",55.0,15.0,7.59,8.5,20.79,30.0,25.0,8.5,-20.79,0.0,0.62,12.23,11.18,10.29,9.082,1.252,21.509,1187310256.6,0.0663,0.0,0.0,0.0,0.0,5684173790.0,12.05 - 12.41,8.95,13.21,收盘价高于20日均线34.7%；均线多头排列，MA5/MA10距离8.6%，MA10/MA20距离13.3%；成交量为5日均量1.25倍；成交量为10日均量1.62倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业M74专业技术服务业热度评分0.00,最近10日涨幅过大扣3.1分；距离20日均线过远扣10.0分；连续涨停风险扣2.7分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
5,001206,依依股份,C41其他制造业,行业,0,0.0,False,50.4,"{'MA20评分': 27.4, '均线评分': 21.9, '量能评分': 5.7, '突破评分': 5.0, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 12.2, '风险扣分': -10.2, '市场风格调整': 0.0}",49.24,12.22,5.72,5.05,10.24,27.35,21.88,5.05,-10.24,0.0,0.62,22.33,21.056,20.351,19.629,1.463,14.186,329481890.63,0.0155,0.0,0.0,0.0,0.0,2386284285.0,22.00 - 22.66,19.33,24.12,收盘价高于20日均线13.8%；均线多头排列，MA5/MA10距离3.5%，MA10/MA20距离3.7%；成交量为5日均量1.46倍；成交量为10日均量1.48倍；突破近20日高点；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业C41其他制造业热度评分0.00,距离20日均线过远扣1.0分；成交额偏低扣4.3分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
6,600881,亚泰集团,C30非金属矿物制品业,行业,0,0.0,False,49.9,"{'MA20评分': 24.7, '均线评分': 16.2, '量能评分': 12.3, '突破评分': 6.3, '市值评分': 0.0, '板块热度': 1.2, '资金评分': 13.0, '风险扣分': -10.9, '市场风格调整': 0.0}",40.82,12.98,12.35,6.3,10.91,24.67,16.16,6.3,-10.91,0.0,1.25,1.86,1.71,1.596,1.579,2.454,9.419,551282057.0,0.0276,0.0,0.0,0.0,0.0,6011800860.0,1.83 - 1.89,1.55,2.01,收盘价高于20日均线17.8%；均线多头排列，MA5/MA10距离7.1%，MA10/MA20距离1.1%；成交量为5日均量2.45倍；成交量为10日均量3.84倍；突破近20日高点；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业C30非金属矿物制品业热度评分0.00,距离20日均线过远扣3.2分；连续涨停风险扣2.7分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
7,000948,南天信息,I65软件和信息技术服务业,行业,0,0.0,False,47.4,"{'MA20评分': 21.2, '均线评分': 21.7, '量能评分': 7.9, '突破评分': 2.7, '市值评分': 0.0, '板块热度': 1.9, '资金评分': 12.0, '风险扣分': -8.1, '市场风格调整': 0.0}",42.91,11.96,7.92,2.71,8.07,21.2,21.71,2.71,-8.07,0.0,1.88,14.15,13.684,13.139,12.688,1.784,7.175,388027193.29,0.0114,0.0,0.0,0.0,0.0,5506462595.0,13.94 - 14.36,12.5,15.28,收盘价高于20日均线11.5%；均线多头排列，MA5/MA10距离4.1%，MA10/MA20距离3.6%；成交量为5日均量1.78倍；成交量为10日均量2.21倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00,当日长上影线明显扣0.3分；成交额偏低扣2.8分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
8,001395,亚联机械,C35专用设备制造业,行业,0,0.0,False,46.3,"{'MA20评分': 29.1, '均线评分': 25.0, '量能评分': 6.7, '突破评分': 4.4, '市值评分': 0.0, '板块热度': 1.9, '资金评分': 13.4, '风险扣分': -20.7, '市场风格调整': 0.0}",54.06,13.45,6.67,4.37,20.66,29.06,25.0,4.37,-20.66,0.0,1.88,33.85,31.612,28.501,26.319,1.2,17.816,303659578.38,0.0352,0.0,0.0,0.0,0.0,1760420025.0,33.34 - 34.36,25.92,36.56,收盘价高于20日均线28.6%；均线多头排列，MA5/MA10距离10.9%，MA10/MA20距离8.3%；成交量为5日均量1.20倍；成交量为10日均量2.19倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业C35专用设备制造业热度评分0.00,最近10日涨幅过大扣1.5分；距离20日均线过远扣9.2分；成交额偏低扣4.9分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
9,603118,共进股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,45.7,"{'MA20评分': 21.6, '均线评分': 17.4, '量能评分': 8.0, '突破评分': 2.1, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 11.1, '风险扣分': -9.4, '市场风格调整': 0.0}",38.94,11.12,7.98,2.06,9.36,21.56,17.38,2.06,-9.36,3.0,3.12,14.95,14.094,13.946,13.058,1.313,15.575,1784261519.0,-0.002,0.0,0.0,0.0,0.0,11769782180.000002,14.73 - 15.17,12.86,16.15,收盘价高于20日均线14.5%；均线多头排列，MA5/MA10距离1.1%，MA10/MA20距离6.8%；成交量为5日均量1.31倍；成交量为10日均量1.39倍；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣1.4分；连续涨停风险扣2.7分；波动异常扣0.3分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
10,002432,九安医疗,C35专用设备制造业,行业,0,0.0,False,45.1,"{'MA20评分': 19.7, '均线评分': 12.5, '量能评分': 11.6, '突破评分': 5.4, '市值评分': 6.0, '板块热度': 1.9, '资金评分': 10.0, '风险扣分': -12.0, '市场风格调整': 0.0}",32.24,10.0,11.57,5.38,11.95,19.74,12.5,5.38,-11.95,6.0,1.88,79.2,66.89,63.427,66.157,1.841,9.81,3594431326.6,0.0631,0.0,0.0,0.0,0.0,36849567744.0,78.01 - 80.39,65.17,85.54,收盘价高于20日均线19.7%；成交量为5日均量1.84倍；成交量为10日均量2.22倍；突破近20日高点；OBV趋势向上；行业C35专用设备制造业热度评分0.00,距离20日均线过远扣4.3分；连续涨停风险扣2.7分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
