rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,000938,紫光股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,58.1,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 5.0, '突破评分': 2.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -18.9, '市场风格调整': 0.0}",55.0,5.0,5.0,2.0,18.87,30.0,25.0,2.0,-18.87,10.0,5.0,41.45,41.59,39.258,35.471,0.731,12.606,15218589534.0,-0.095,0.0,0.0,0.0,0.0,118550013414.99998,40.83 - 42.07,34.94,44.77,收盘价高于20日均线16.9%；均线多头排列，MA5/MA10距离5.9%，MA10/MA20距离10.7%；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣2.7分；当日长上影线明显扣10.0分；波动异常扣1.2分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
2,000977,浪潮信息,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,56.8,"{'MA20评分': 26.8, '均线评分': 20.0, '量能评分': 4.1, '突破评分': 1.7, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -10.8, '市场风格调整': 0.0}",46.81,5.0,4.14,1.75,10.85,26.81,19.99,1.75,-10.85,10.0,5.0,85.31,86.738,85.123,78.945,0.559,6.548,8310728034.2699995,-0.1148,0.0,0.0,0.0,0.0,125135420858.0,84.03 - 86.59,77.76,92.13,收盘价高于20日均线8.1%；均线多头排列，MA5/MA10距离1.9%，MA10/MA20距离7.8%；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,当日长上影线明显扣5.8分；波动异常扣0.0分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
3,600722,金牛化工,C26化学原料和化学制品制造业,行业,0,0.0,False,54.5,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 10.7, '突破评分': 4.9, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 14.3, '风险扣分': -19.2, '市场风格调整': 0.0}",55.0,14.29,10.69,4.86,19.19,30.0,25.0,4.86,-19.19,0.0,3.12,11.43,10.126,9.093,8.595,1.644,24.02,1848058194.0,0.0486,0.0,0.0,0.0,0.0,7776054171.0,11.26 - 11.60,8.47,12.34,收盘价高于20日均线33.0%；均线多头排列，MA5/MA10距离11.4%，MA10/MA20距离5.8%；成交量为5日均量1.64倍；成交量为10日均量2.08倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,最近10日涨幅过大扣2.4分；距离20日均线过远扣10.0分；当日长上影线明显扣1.8分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
4,603893,瑞芯微,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,54.0,"{'MA20评分': 24.0, '均线评分': 15.5, '量能评分': 5.5, '突破评分': 1.7, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -7.6, '市场风格调整': 0.0}",39.47,10.0,5.48,1.69,7.62,23.95,15.52,1.69,-7.62,10.0,5.0,221.8,216.142,215.136,202.31,0.916,7.781,7339205143.0,-0.0517,0.0,0.0,0.0,0.0,93797767210.00002,218.47 - 225.13,199.27,239.54,收盘价高于20日均线9.6%；均线多头排列，MA5/MA10距离0.5%，MA10/MA20距离6.3%；成交量为10日均量1.08倍；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,当日长上影线明显扣2.6分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
5,603296,华勤技术,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,51.7,"{'MA20评分': 25.8, '均线评分': 23.3, '量能评分': 5.3, '突破评分': 2.0, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 5.0, '风险扣分': -15.7, '市场风格调整': 0.0}",49.12,5.0,5.34,2.0,15.75,25.83,23.29,2.0,-15.75,6.0,5.0,88.19,83.544,80.332,77.06,1.084,5.314,3776330655.0,-0.0402,0.0,0.0,0.0,0.0,70428190059.0,86.87 - 89.51,75.9,95.25,收盘价高于20日均线14.4%；均线多头排列，MA5/MA10距离4.0%，MA10/MA20距离4.2%；成交量为5日均量1.08倍；成交量为10日均量1.07倍；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣1.4分；当日长上影线明显扣9.4分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
6,002860,星帅尔,C38电气机械和器材制造业,行业,0,0.0,False,51.6,"{'MA20评分': 25.6, '均线评分': 13.6, '量能评分': 8.0, '突破评分': 6.3, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 12.1, '风险扣分': -5.0, '市场风格调整': 0.0}",39.19,12.07,8.01,6.27,5.0,25.57,13.62,6.27,-5.0,0.0,3.12,17.79,16.884,16.624,16.194,1.612,11.532,697034510.3,0.0131,0.0,0.0,0.0,0.0,6119274333.0,17.52 - 18.06,15.95,19.21,收盘价高于20日均线9.9%；均线多头排列，MA5/MA10距离1.6%，MA10/MA20距离2.7%；成交量为5日均量1.61倍；成交量为10日均量1.85倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
7,603619,中曼石油,B07石油和天然气开采业,行业,0,0.0,False,50.0,"{'MA20评分': 24.2, '均线评分': 21.3, '量能评分': 13.6, '突破评分': 2.0, '市值评分': 3.0, '板块热度': 1.2, '资金评分': 0.0, '风险扣分': -15.3, '市场风格调整': 0.0}",45.51,0.0,13.56,2.0,15.27,24.2,21.31,2.0,-15.27,3.0,1.25,22.7,21.284,20.138,19.48,2.664,20.799,2293647357.0,-0.0328,0.0,0.0,0.0,0.0,10495083950.0,22.36 - 23.04,19.19,24.52,收盘价高于20日均线16.5%；均线多头排列，MA5/MA10距离5.7%，MA10/MA20距离3.4%；成交量为5日均量2.66倍；成交量为10日均量2.22倍；行业B07石油和天然气开采业热度评分0.00,距离20日均线过远扣2.5分；当日放量滞涨扣7.8分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
8,600844,金煤科技,C26化学原料和化学制品制造业,行业,0,0.0,False,49.7,"{'MA20评分': 24.5, '均线评分': 21.9, '量能评分': 7.4, '突破评分': 1.3, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 5.0, '风险扣分': -8.5, '市场风格调整': 0.0}",46.4,5.0,7.4,1.3,8.45,24.48,21.91,1.3,-8.45,0.0,3.12,3.02,2.898,2.827,2.658,1.553,18.693,484641214.0,-0.0563,0.0,0.0,0.0,0.0,2484646412.0,2.97 - 3.07,2.62,3.26,收盘价高于20日均线13.6%；均线多头排列，MA5/MA10距离2.5%，MA10/MA20距离6.4%；成交量为5日均量1.55倍；成交量为10日均量1.89倍；OBV趋势向上；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣0.9分；当日长上影线明显扣1.8分；当日放量滞涨扣0.4分；成交额偏低扣0.4分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
9,002396,星网锐捷,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,49.1,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 5.0, '突破评分': 1.7, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -20.6, '市场风格调整': 0.0}",55.0,0.0,5.0,1.7,20.6,30.0,25.0,1.7,-20.6,3.0,5.0,32.92,32.358,30.538,27.273,0.619,16.586,4215453742.8799996,-0.1098,0.0,0.0,0.0,0.0,24934105092.000004,32.43 - 33.41,26.86,35.55,收盘价高于20日均线20.7%；均线多头排列，MA5/MA10距离6.0%，MA10/MA20距离12.0%；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣4.8分；当日长上影线明显扣10.0分；波动异常扣0.8分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
10,601678,滨化股份,C26化学原料和化学制品制造业,行业,0,0.0,False,48.7,"{'MA20评分': 18.6, '均线评分': 12.5, '量能评分': 15.0, '突破评分': 2.0, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 5.0, '风险扣分': -5.4, '市场风格调整': 0.0}",31.08,5.0,15.0,2.0,5.44,18.58,12.5,2.0,-5.44,3.0,3.12,6.54,5.974,5.551,5.965,3.078,25.227,3463517734.0,-0.1658,0.0,0.0,0.0,0.0,13363419402.0,6.44 - 6.64,5.88,7.06,收盘价高于20日均线9.6%；成交量为5日均量3.08倍；成交量为10日均量3.64倍；OBV趋势向上；行业C26化学原料和化学制品制造业热度评分0.00,波动异常扣0.4分；大盘状态较弱扣5.0分；市场状态为观望，建议降低仓位,今日无高确定性机会，建议空仓观察。
