rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,601020,华钰矿业,B09有色金属矿采选业,行业,0,0.0,False,61.4,"{'MA20评分': 22.9, '均线评分': 25.0, '量能评分': 11.1, '突破评分': 2.1, '市值评分': 3.0, '板块热度': 4.4, '资金评分': 5.0, '风险扣分': -7.1, '市场风格调整': 0.0}",47.87,5.0,11.1,2.14,7.13,22.87,25.0,2.14,-7.13,3.0,4.38,22.66,21.744,20.585,19.479,1.91,7.296,1396221206.0,-0.0262,0.0,0.0,0.0,0.0,18580400102.0,22.32 - 23.00,19.19,24.47,收盘价高于20日均线16.3%；均线多头排列，MA5/MA10距离5.6%，MA10/MA20距离5.7%；成交量为5日均量1.91倍；成交量为10日均量2.31倍；OBV趋势向上；行业B09有色金属矿采选业热度评分0.00,距离20日均线过远扣2.4分；当日放量滞涨扣2.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
2,601678,滨化股份,C26化学原料和化学制品制造业,行业,0,0.0,False,60.6,"{'MA20评分': 28.1, '均线评分': 25.0, '量能评分': 3.9, '突破评分': 1.7, '市值评分': 3.0, '板块热度': 1.2, '资金评分': 10.0, '风险扣分': -2.3, '市场风格调整': 0.0}",53.14,10.0,3.88,1.72,2.34,28.14,25.0,1.72,-2.34,3.0,1.25,7.11,7.146,6.749,6.314,0.717,8.298,1223829433.0,-0.0469,0.0,0.0,0.0,0.0,14528121092.999998,7.00 - 7.22,6.22,7.68,收盘价高于20日均线12.6%；均线多头排列，MA5/MA10距离5.9%，MA10/MA20距离6.9%；OBV趋势向上；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣0.3分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
3,600711,盛屯矿业,B09有色金属矿采选业,行业,0,0.0,False,60.5,"{'MA20评分': 23.3, '均线评分': 25.0, '量能评分': 9.1, '突破评分': 2.0, '市值评分': 6.0, '板块热度': 4.4, '资金评分': 10.0, '风险扣分': -9.2, '市场风格调整': 0.0}",48.27,10.0,9.08,2.0,9.21,23.27,25.0,2.0,-9.21,6.0,4.38,12.4,11.98,11.276,10.737,1.503,7.391,2898495969.0,-0.0388,0.0,0.0,0.0,0.0,38323583840.0,12.21 - 12.59,10.58,13.39,收盘价高于20日均线15.5%；均线多头排列，MA5/MA10距离6.2%，MA10/MA20距离5.0%；成交量为5日均量1.50倍；成交量为10日均量1.87倍；OBV趋势向上；OBV接近或创阶段新高；行业B09有色金属矿采选业热度评分0.00,距离20日均线过远扣1.9分；当日长上影线明显扣5.3分；当日放量滞涨扣0.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
4,000815,美利云,C22造纸和纸制品业,行业,0,0.0,False,60.1,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 8.0, '突破评分': 0.7, '市值评分': 3.0, '板块热度': 0.6, '资金评分': 10.0, '风险扣分': -7.2, '市场风格调整': 0.0}",55.0,10.0,8.0,0.68,7.19,30.0,25.0,0.68,-7.19,3.0,0.62,18.88,18.458,17.134,15.995,1.254,22.846,2988098840.6099997,-0.0465,0.0,0.0,0.0,0.0,13126565440.0,18.60 - 19.16,15.76,20.39,收盘价高于20日均线18.0%；均线多头排列，MA5/MA10距离7.7%，MA10/MA20距离7.1%；成交量为5日均量1.25倍；成交量为10日均量1.47倍；OBV趋势向上；OBV接近或创阶段新高；行业C22造纸和纸制品业热度评分0.00,距离20日均线过远扣3.4分；当日长上影线明显扣0.6分；波动异常扣1.2分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
5,600611,大众交通,G54道路运输业,行业,0,0.0,False,57.7,"{'MA20评分': 29.1, '均线评分': 25.0, '量能评分': 9.7, '突破评分': 2.1, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 5.0, '风险扣分': -8.8, '市场风格调整': 0.0}",54.11,5.0,9.72,2.1,8.82,29.11,25.0,2.1,-8.82,0.0,0.62,5.02,4.742,4.439,4.201,1.611,12.759,982363335.0,-0.0271,0.0,0.0,0.0,0.0,7847848328.0,4.94 - 5.10,4.14,5.42,收盘价高于20日均线19.5%；均线多头排列，MA5/MA10距离6.8%，MA10/MA20距离5.7%；成交量为5日均量1.61倍；成交量为10日均量2.25倍；OBV趋势向上；行业G54道路运输业热度评分0.00,距离20日均线过远扣4.2分；连续涨停风险扣2.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
6,002131,利欧股份,L72商务服务业,行业,0,0.0,False,57.3,"{'MA20评分': 26.5, '均线评分': 25.0, '量能评分': 4.2, '突破评分': 0.0, '市值评分': 6.0, '板块热度': 0.6, '资金评分': 0.0, '风险扣分': -5.0, '市场风格调整': 0.0}",51.48,0.0,4.23,0.0,5.02,26.48,25.0,0.0,-5.02,6.0,0.62,5.3,5.462,5.086,4.529,0.401,6.912,2158100537.83,-0.0702,0.0,0.0,0.0,0.0,31030432050.0,5.22 - 5.38,4.46,5.72,收盘价高于20日均线17.0%；均线多头排列，MA5/MA10距离7.4%，MA10/MA20距离12.3%；行业L72商务服务业热度评分0.00,最近10日涨幅过大扣0.2分；距离20日均线过远扣2.8分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
7,600722,金牛化工,C26化学原料和化学制品制造业,行业,0,0.0,False,56.6,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 8.0, '突破评分': 1.5, '市值评分': 0.0, '板块热度': 1.2, '资金评分': 5.0, '风险扣分': -9.2, '市场风格调整': 0.0}",55.0,5.0,8.02,1.54,9.16,30.0,25.0,1.54,-9.16,0.0,1.25,12.13,11.546,11.15,10.301,1.268,19.88,1652593526.0,-0.0312,0.0,0.0,0.0,0.0,8252277961.0,11.95 - 12.31,10.15,13.1,收盘价高于20日均线17.8%；均线多头排列，MA5/MA10距离3.6%，MA10/MA20距离8.2%；成交量为5日均量1.27倍；成交量为10日均量1.46倍；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,最近10日涨幅过大扣0.2分；距离20日均线过远扣3.2分；当日长上影线明显扣2.6分；波动异常扣1.2分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
8,600698,湖南天雁,C36汽车制造业,行业,0,0.0,False,56.6,"{'MA20评分': 26.3, '均线评分': 21.1, '量能评分': 12.2, '突破评分': 3.8, '市值评分': 0.0, '板块热度': 1.2, '资金评分': 12.4, '风险扣分': -8.0, '市场风格调整': 0.0}",47.39,12.38,12.25,3.79,8.04,26.29,21.09,3.79,-8.04,0.0,1.25,7.35,6.872,6.72,6.401,3.551,10.511,636189363.0,0.018,0.0,0.0,0.0,0.0,6103819995.0,7.24 - 7.46,6.3,7.94,收盘价高于20日均线14.8%；均线多头排列，MA5/MA10距离2.3%，MA10/MA20距离5.0%；成交量为5日均量3.55倍；成交量为10日均量2.56倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业C36汽车制造业热度评分0.00,距离20日均线过远扣1.6分；当日长上影线明显扣2.7分；当日放量滞涨扣1.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
9,002649,博彦科技,I65软件和信息技术服务业,行业,0,0.0,False,56.6,"{'MA20评分': 26.1, '均线评分': 25.0, '量能评分': 4.5, '突破评分': 1.9, '市值评分': 0.0, '板块热度': 1.2, '资金评分': 5.0, '风险扣分': -2.0, '市场风格调整': 0.0}",51.1,5.0,4.47,1.86,2.0,26.1,25.0,1.86,-2.0,0.0,1.25,10.36,10.672,9.86,9.255,0.95,9.093,504619431.67,-0.1123,0.0,0.0,0.0,0.0,5556742436.0,10.20 - 10.52,9.12,11.19,收盘价高于20日均线11.9%；均线多头排列，MA5/MA10距离8.2%，MA10/MA20距离6.5%；成交量为10日均量1.50倍；OBV趋势向上；行业I65软件和信息技术服务业热度评分0.00,大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
10,002194,武汉凡谷,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,56.6,"{'MA20评分': 27.6, '均线评分': 25.0, '量能评分': 9.7, '突破评分': 2.8, '市值评分': 0.0, '板块热度': 2.5, '资金评分': 10.7, '风险扣分': -11.0, '市场风格调整': 0.0}",52.64,10.69,9.7,2.76,10.96,27.64,25.0,2.76,-10.96,0.0,2.5,11.0,10.272,9.565,8.919,1.647,14.658,782053955.9,-0.009,0.0,0.0,0.0,0.0,5619667900.0,10.83 - 11.16,8.79,11.88,收盘价高于20日均线23.3%；均线多头排列，MA5/MA10距离7.4%，MA10/MA20距离7.2%；成交量为5日均量1.65倍；成交量为10日均量2.40倍；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣6.3分；连续涨停风险扣2.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
