rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,600756,浪潮软件,I65软件和信息技术服务业,行业,0,0.0,False,62.0,"{'MA20评分': 26.5, '均线评分': 23.6, '量能评分': 7.5, '突破评分': 2.7, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 10.6, '风险扣分': -1.4, '市场风格调整': 0.0}",50.1,10.61,7.49,2.72,1.4,26.49,23.61,2.72,-1.4,0.0,3.12,16.33,15.452,14.994,14.259,1.463,17.559,915232313.0,-0.0103,0.0,0.0,0.0,0.0,5292533404.0,16.09 - 16.57,14.05,17.64,收盘价高于20日均线14.5%；均线多头排列，MA5/MA10距离3.1%，MA10/MA20距离5.2%；成交量为5日均量1.46倍；成交量为10日均量1.60倍；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00,距离20日均线过远扣1.4分,今日无高确定性机会，建议空仓观察。
2,002891,中宠股份,C13农副食品加工业,行业,0,0.0,False,60.8,"{'MA20评分': 23.5, '均线评分': 25.0, '量能评分': 4.8, '突破评分': 3.5, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 10.0, '风险扣分': -1.4, '市场风格调整': 0.0}",48.51,10.0,4.76,3.45,1.39,23.51,25.0,3.45,-1.39,3.0,2.5,33.28,31.774,30.629,29.067,1.23,6.809,715079203.2700001,-0.0404,0.0,0.0,0.0,0.0,10712755456.0,32.78 - 33.78,28.63,35.94,收盘价高于20日均线14.5%；均线多头排列，MA5/MA10距离3.7%，MA10/MA20距离5.4%；成交量为5日均量1.23倍；成交量为10日均量1.30倍；OBV趋势向上；OBV接近或创阶段新高；行业C13农副食品加工业热度评分0.00,距离20日均线过远扣1.4分,今日无高确定性机会，建议空仓观察。
3,002400,省广集团,L72商务服务业,行业,0,0.0,False,59.9,"{'MA20评分': 20.1, '均线评分': 16.0, '量能评分': 15.0, '突破评分': 4.3, '市值评分': 3.0, '板块热度': 1.9, '资金评分': 8.3, '风险扣分': -0.4, '市场风格调整': 0.0}",36.12,8.34,15.0,4.31,0.41,20.12,15.99,4.31,-0.41,3.0,1.88,6.8,6.318,6.13,6.031,3.355,14.152,1651181779.1200001,0.0334,0.0,0.0,0.0,0.0,11737919280.0,6.70 - 6.90,5.94,7.34,收盘价高于20日均线12.7%；均线多头排列，MA5/MA10距离3.1%，MA10/MA20距离1.6%；成交量为5日均量3.35倍；成交量为10日均量3.47倍；突破近20日高点；OBV趋势向上；行业L72商务服务业热度评分0.00,距离20日均线过远扣0.4分,今日无高确定性机会，建议空仓观察。
4,002440,闰土股份,C26化学原料和化学制品制造业,行业,0,0.0,False,59.5,"{'MA20评分': 27.0, '均线评分': 23.1, '量能评分': 4.3, '突破评分': 3.5, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 10.0, '风险扣分': -3.8, '市场风格调整': 0.0}",50.02,10.0,4.27,3.5,3.82,26.95,23.07,3.5,-3.82,3.0,2.5,13.71,13.06,12.694,11.534,1.026,8.122,1027299311.19,-0.0359,0.0,0.0,0.0,0.0,12974587374.0,13.50 - 13.92,11.36,14.81,收盘价高于20日均线18.9%；均线多头排列，MA5/MA10距离2.9%，MA10/MA20距离10.1%；成交量为5日均量1.03倍；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业C26化学原料和化学制品制造业热度评分0.00,距离20日均线过远扣3.8分,今日无高确定性机会，建议空仓观察。
5,000948,南天信息,I65软件和信息技术服务业,行业,0,0.0,False,59.3,"{'MA20评分': 26.9, '均线评分': 16.7, '量能评分': 10.1, '突破评分': 4.3, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 10.7, '风险扣分': -1.7, '市场风格调整': 0.0}",43.58,10.74,10.06,4.29,1.7,26.87,16.71,4.29,-1.7,0.0,3.12,15.78,14.496,14.292,13.716,1.993,14.391,864446063.16,-0.0082,0.0,0.0,0.0,0.0,6140775954.0,15.54 - 16.02,13.51,17.04,收盘价高于20日均线15.1%；均线多头排列，MA5/MA10距离1.4%，MA10/MA20距离4.2%；成交量为5日均量1.99倍；成交量为10日均量2.06倍；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00,距离20日均线过远扣1.7分,今日无高确定性机会，建议空仓观察。
6,000428,华天酒店,H61住宿业,行业,0,0.0,False,58.9,"{'MA20评分': 29.3, '均线评分': 25.0, '量能评分': 12.5, '突破评分': 5.0, '市值评分': 0.0, '板块热度': 0.6, '资金评分': 10.0, '风险扣分': -13.5, '市场风格调整': 0.0}",54.34,10.0,12.47,5.0,13.51,29.34,25.0,5.0,-13.51,0.0,0.62,4.21,3.818,3.437,3.267,2.631,11.748,487285302.77,-0.0518,0.0,0.0,0.0,0.0,4289678460.0,4.15 - 4.27,3.22,4.55,收盘价高于20日均线28.9%；均线多头排列，MA5/MA10距离11.1%，MA10/MA20距离5.2%；成交量为5日均量2.63倍；成交量为10日均量4.15倍；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业H61住宿业热度评分0.00,最近10日涨幅过大扣1.2分；距离20日均线过远扣9.4分；连续涨停风险扣2.7分；成交额偏低扣0.3分,今日无高确定性机会，建议空仓观察。
7,600199,金种子酒,C15酒、饮料和精制茶制造业,行业,0,0.0,False,58.2,"{'MA20评分': 23.3, '均线评分': 25.0, '量能评分': 7.2, '突破评分': 2.0, '市值评分': 0.0, '板块热度': 1.9, '资金评分': 5.0, '风险扣分': -1.3, '市场风格调整': 0.0}",48.35,5.0,7.18,2.0,1.26,23.35,25.0,2.0,-1.26,0.0,1.88,7.85,7.542,7.278,6.91,1.555,10.605,541442307.0,-0.0508,0.0,0.0,0.0,0.0,5163704880.0,7.73 - 7.97,6.81,8.48,收盘价高于20日均线13.6%；均线多头排列，MA5/MA10距离3.6%，MA10/MA20距离5.3%；成交量为5日均量1.55倍；成交量为10日均量1.74倍；OBV趋势向上；行业C15酒、饮料和精制茶制造业热度评分0.00,距离20日均线过远扣0.9分；当日放量滞涨扣0.4分,今日无高确定性机会，建议空仓观察。
8,002279,久其软件,I65软件和信息技术服务业,行业,0,0.0,False,58.2,"{'MA20评分': 23.4, '均线评分': 23.8, '量能评分': 9.2, '突破评分': 2.0, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 10.0, '风险扣分': -3.3, '市场风格调整': 0.0}",47.2,10.0,9.16,2.02,3.27,23.43,23.77,2.02,-3.27,0.0,3.12,6.9,6.544,6.218,5.952,1.672,13.562,739667542.73,-0.0295,0.0,0.0,0.0,0.0,5488945170.0,6.80 - 7.00,5.86,7.45,收盘价高于20日均线15.9%；均线多头排列，MA5/MA10距离5.2%，MA10/MA20距离4.5%；成交量为5日均量1.67倍；成交量为10日均量2.20倍；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00,距离20日均线过远扣2.2分；当日长上影线明显扣0.8分；当日放量滞涨扣0.3分,今日无高确定性机会，建议空仓观察。
9,002298,中电鑫龙,C38电气机械和器材制造业,行业,0,0.0,False,56.9,"{'MA20评分': 23.5, '均线评分': 25.0, '量能评分': 7.0, '突破评分': 1.7, '市值评分': 0.0, '板块热度': 4.4, '资金评分': 10.0, '风险扣分': -4.7, '市场风格调整': 0.0}",48.48,10.0,6.98,1.7,4.67,23.48,25.0,1.7,-4.67,0.0,4.38,8.9,8.58,7.855,7.425,1.079,17.569,1016344298.6400001,-0.0337,0.0,0.0,0.0,0.0,5880737300.0,8.77 - 9.03,7.31,9.61,收盘价高于20日均线19.9%；均线多头排列，MA5/MA10距离9.2%，MA10/MA20距离5.8%；成交量为5日均量1.08倍；成交量为10日均量1.75倍；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣0.3分；距离20日均线过远扣4.4分,今日无高确定性机会，建议空仓观察。
10,000533,顺钠股份,C38电气机械和器材制造业,行业,0,0.0,False,56.3,"{'MA20评分': 20.4, '均线评分': 25.0, '量能评分': 8.1, '突破评分': 1.6, '市值评分': 0.0, '板块热度': 4.4, '资金评分': 5.0, '风险扣分': -3.2, '市场风格调整': 0.0}",45.41,5.0,8.12,1.57,3.21,20.41,25.0,1.57,-3.21,0.0,4.38,10.41,11.106,9.743,9.162,1.084,19.879,1423291432.6599998,-0.1816,0.0,0.0,0.0,0.0,7129833983.999999,10.25 - 10.57,9.02,11.24,收盘价高于20日均线13.6%；均线多头排列，MA5/MA10距离14.0%，MA10/MA20距离6.3%；成交量为5日均量1.08倍；成交量为10日均量1.79倍；OBV趋势向上；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣0.1分；距离20日均线过远扣0.9分；当日长上影线明显扣2.2分,今日无高确定性机会，建议空仓观察。
