rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,000676,智度股份,L72商务服务业,行业,0,0.0,False,63.4,"{'MA20评分': 30.0, '均线评分': 23.8, '量能评分': 6.7, '突破评分': 3.8, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 10.5, '风险扣分': -4.1, '市场风格调整': 0.0}",53.85,10.54,6.74,3.82,4.13,30.0,23.85,3.82,-4.13,0.0,3.12,7.85,7.476,7.249,6.607,1.152,16.067,1564994204.29,-0.0113,0.0,0.0,0.0,0.0,9883373725.0,7.73 - 7.97,6.51,8.48,收盘价高于20日均线18.8%；均线多头排列，MA5/MA10距离3.1%，MA10/MA20距离9.7%；成交量为5日均量1.15倍；成交量为10日均量1.08倍；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业L72商务服务业热度评分0.00,距离20日均线过远扣3.8分；波动异常扣0.3分,今日无高确定性机会，建议空仓观察。
2,002366,融发核电,C35专用设备制造业,行业,0,0.0,False,62.8,"{'MA20评分': 27.3, '均线评分': 25.0, '量能评分': 10.9, '突破评分': 2.9, '市值评分': 3.0, '板块热度': 0.6, '资金评分': 10.9, '风险扣分': -6.9, '市场风格调整': 0.0}",52.27,10.88,10.91,2.88,6.89,27.27,25.0,2.88,-6.89,3.0,0.62,6.74,6.18,5.837,5.473,1.795,10.721,1293439989.79,-0.0059,0.0,0.0,0.0,0.0,12471405001.0,6.64 - 6.84,5.39,7.28,收盘价高于20日均线23.1%；均线多头排列，MA5/MA10距离5.9%，MA10/MA20距离6.6%；成交量为5日均量1.79倍；成交量为10日均量2.20倍；OBV趋势向上；OBV接近或创阶段新高；行业C35专用设备制造业热度评分0.00,最近10日涨幅过大扣0.5分；距离20日均线过远扣6.2分；当日长上影线明显扣0.2分,今日无高确定性机会，建议空仓观察。
3,600556,天下秀,I64互联网和相关服务,行业,0,0.0,False,62.4,"{'MA20评分': 27.9, '均线评分': 22.7, '量能评分': 10.8, '突破评分': 6.0, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 15.0, '风险扣分': -10.4, '市场风格调整': 0.0}",50.56,15.0,10.76,6.0,10.4,27.86,22.7,6.0,-10.4,3.0,2.5,5.54,4.892,4.6,4.424,2.142,7.519,732221930.0,0.0884,0.0,0.0,0.0,0.0,10014921704.0,5.46 - 5.62,4.36,5.98,收盘价高于20日均线25.2%；均线多头排列，MA5/MA10距离6.3%，MA10/MA20距离4.0%；成交量为5日均量2.14倍；成交量为10日均量2.54倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业I64互联网和相关服务热度评分0.00,最近10日涨幅过大扣0.4分；距离20日均线过远扣7.4分；连续涨停风险扣2.7分,今日无高确定性机会，建议空仓观察。
4,002131,利欧股份,L72商务服务业,行业,0,0.0,False,62.4,"{'MA20评分': 29.4, '均线评分': 24.1, '量能评分': 9.5, '突破评分': 3.4, '市值评分': 6.0, '板块热度': 3.1, '资金评分': 11.8, '风险扣分': -13.1, '市场风格调整': 0.0}",53.51,11.81,9.5,3.41,13.08,29.41,24.1,3.41,-13.08,6.0,3.12,5.67,5.026,4.511,4.312,1.278,21.416,6971375059.38,0.0089,0.0,0.0,0.0,0.0,33196707495.0,5.58 - 5.76,4.25,6.12,收盘价高于20日均线31.5%；均线多头排列，MA5/MA10距离11.4%，MA10/MA20距离4.6%；成交量为5日均量1.28倍；成交量为10日均量2.04倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业L72商务服务业热度评分0.00,最近10日涨幅过大扣3.1分；距离20日均线过远扣10.0分,今日无高确定性机会，建议空仓观察。
5,600664,哈药股份,C27医药制造业,行业,0,0.0,False,62.1,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 6.4, '突破评分': 7.1, '市值评分': 3.0, '板块热度': 1.2, '资金评分': 13.1, '风险扣分': -10.7, '市场风格调整': 0.0}",55.0,13.05,6.41,7.14,10.69,30.0,25.0,7.14,-10.69,3.0,1.25,6.77,6.132,5.88,5.245,1.125,18.865,3123214091.0,0.0289,0.0,0.0,0.0,0.0,17050312023.0,6.67 - 6.87,5.17,7.31,收盘价高于20日均线29.1%；均线多头排列，MA5/MA10距离4.3%，MA10/MA20距离12.1%；成交量为5日均量1.13倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C27医药制造业热度评分0.00,距离20日均线过远扣9.5分；波动异常扣1.2分,今日无高确定性机会，建议空仓观察。
6,600936,北投科技,I63电信、广播电视和卫星传输服务,行业,0,0.0,False,61.1,"{'MA20评分': 28.6, '均线评分': 25.0, '量能评分': 6.0, '突破评分': 4.0, '市值评分': 3.0, '板块热度': 0.6, '资金评分': 12.8, '风险扣分': -6.1, '市场风格调整': 0.0}",53.57,12.81,5.99,4.0,6.09,28.57,25.0,4.0,-6.09,3.0,0.62,6.17,5.71,5.404,5.018,1.3,8.606,855705835.0,0.0249,0.0,0.0,0.0,0.0,10310231654.0,6.08 - 6.26,4.94,6.66,收盘价高于20日均线23.0%；均线多头排列，MA5/MA10距离5.7%，MA10/MA20距离7.7%；成交量为5日均量1.30倍；成交量为10日均量1.39倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业I63电信、广播电视和卫星传输服务热度评分0.00,距离20日均线过远扣6.1分,今日无高确定性机会，建议空仓观察。
7,002607,中公教育,P83教育,行业,0,0.0,False,60.9,"{'MA20评分': 22.6, '均线评分': 24.8, '量能评分': 14.1, '突破评分': 4.5, '市值评分': 3.0, '板块热度': 1.2, '资金评分': 8.7, '风险扣分': -9.4, '市场风格调整': 0.0}",47.44,8.74,14.1,4.54,9.43,22.63,24.81,4.54,-9.43,3.0,1.25,2.35,2.146,2.006,1.912,2.195,12.179,1529251342.37,0.0398,0.0,0.0,0.0,0.0,13027084470.0,2.31 - 2.39,1.88,2.54,收盘价高于20日均线22.9%；均线多头排列，MA5/MA10距离7.0%，MA10/MA20距离4.9%；成交量为5日均量2.19倍；成交量为10日均量2.86倍；突破近20日高点；OBV趋势向上；行业P83教育热度评分0.00,最近10日涨幅过大扣0.7分；距离20日均线过远扣6.1分；连续涨停风险扣2.7分,今日无高确定性机会，建议空仓观察。
8,603682,锦和商管,L72商务服务业,行业,0,0.0,False,60.3,"{'MA20评分': 29.7, '均线评分': 24.4, '量能评分': 7.8, '突破评分': 7.6, '市值评分': 0.0, '板块热度': 3.1, '资金评分': 13.9, '风险扣分': -12.3, '市场风格调整': 0.0}",54.07,13.91,7.81,7.64,12.34,29.7,24.36,7.64,-12.34,0.0,3.12,11.01,10.016,9.109,8.698,1.514,9.47,472901461.0,0.0426,0.0,0.0,0.0,0.0,5202225000.0,10.84 - 11.18,8.57,11.89,收盘价高于20日均线26.6%；均线多头排列，MA5/MA10距离10.0%，MA10/MA20距离4.7%；成交量为5日均量1.51倍；成交量为10日均量2.16倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业L72商务服务业热度评分0.00,最近10日涨幅过大扣3.4分；距离20日均线过远扣8.1分；成交额偏低扣0.7分；波动异常扣0.1分,今日无高确定性机会，建议空仓观察。
9,603533,掌阅科技,I64互联网和相关服务,行业,0,0.0,False,60.0,"{'MA20评分': 26.7, '均线评分': 24.2, '量能评分': 7.4, '突破评分': 3.8, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 7.4, '风险扣分': -7.5, '市场风格调整': 0.0}",50.84,7.4,7.37,3.76,7.49,26.68,24.17,3.76,-7.49,3.0,2.5,23.73,22.16,20.745,19.827,1.348,10.222,1054527617.0000001,0.0185,0.0,0.0,0.0,0.0,10415021064.0,23.37 - 24.09,19.53,25.63,收盘价高于20日均线19.7%；均线多头排列，MA5/MA10距离6.8%，MA10/MA20距离4.6%；成交量为5日均量1.35倍；成交量为10日均量1.55倍；突破近20日高点；OBV趋势向上；行业I64互联网和相关服务热度评分0.00,距离20日均线过远扣4.3分；当日长上影线明显扣3.2分,今日无高确定性机会，建议空仓观察。
10,603039,泛微网络,I65软件和信息技术服务业,行业,0,0.0,False,59.9,"{'MA20评分': 27.6, '均线评分': 25.0, '量能评分': 10.8, '突破评分': 5.0, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 14.5, '风险扣分': -14.0, '市场风格调整': 0.0}",52.57,14.52,10.84,4.99,13.96,27.57,25.0,4.99,-13.96,3.0,2.5,44.64,39.45,34.56,32.829,1.437,16.437,2217078626.0,0.0523,0.0,0.0,0.0,0.0,13733009424.0,43.97 - 45.31,32.34,48.21,收盘价高于20日均线36.0%；均线多头排列，MA5/MA10距离14.1%，MA10/MA20距离5.3%；成交量为5日均量1.44倍；成交量为10日均量2.39倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00,最近10日涨幅过大扣4.0分；距离20日均线过远扣10.0分,今日无高确定性机会，建议空仓观察。
11,002181,粤传媒,L72商务服务业,行业,0,0.0,False,59.3,"{'MA20评分': 21.9, '均线评分': 15.7, '量能评分': 13.8, '突破评分': 5.1, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 9.7, '风险扣分': -3.4, '市场风格调整': 0.0}",37.64,9.66,13.84,5.07,3.39,21.92,15.72,5.07,-3.39,3.0,3.12,9.87,8.846,8.434,8.357,2.557,9.667,1069656596.47,0.0545,0.0,0.0,0.0,0.0,11197881177.0,9.72 - 10.02,8.23,10.66,收盘价高于20日均线18.1%；均线多头排列，MA5/MA10距离4.9%，MA10/MA20距离0.9%；成交量为5日均量2.56倍；成交量为10日均量2.85倍；突破近20日高点；OBV趋势向上；行业L72商务服务业热度评分0.00,距离20日均线过远扣3.4分,今日无高确定性机会，建议空仓观察。
12,002400,省广集团,L72商务服务业,行业,0,0.0,False,59.3,"{'MA20评分': 23.9, '均线评分': 22.8, '量能评分': 4.7, '突破评分': 3.6, '市值评分': 3.0, '板块热度': 3.1, '资金评分': 12.1, '风险扣分': -1.8, '市场风格调整': 0.0}",46.72,12.14,4.66,3.61,1.79,23.91,22.82,3.61,-1.79,3.0,3.12,7.13,6.804,6.438,6.188,0.93,7.668,938127181.17,0.0142,0.0,0.0,0.0,0.0,12307553598.0,7.02 - 7.24,6.1,7.7,收盘价高于20日均线15.2%；均线多头排列，MA5/MA10距离5.7%，MA10/MA20距离4.0%；成交量为10日均量1.31倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业L72商务服务业热度评分0.00,距离20日均线过远扣1.8分,今日无高确定性机会，建议空仓观察。
13,600756,浪潮软件,I65软件和信息技术服务业,行业,0,0.0,False,58.9,"{'MA20评分': 25.3, '均线评分': 24.2, '量能评分': 4.7, '突破评分': 2.4, '市值评分': 0.0, '板块热度': 2.5, '资金评分': 10.8, '风险扣分': -0.1, '市场风格调整': 0.0}",49.45,10.77,4.69,2.36,0.15,25.29,24.16,2.36,-0.15,0.0,2.5,16.67,16.288,15.536,14.849,0.943,15.169,797317274.0,-0.0077,0.0,0.0,0.0,0.0,5402726996.000001,16.42 - 16.92,14.63,18.0,收盘价高于20日均线12.3%；均线多头排列，MA5/MA10距离4.8%，MA10/MA20距离4.6%；成交量为10日均量1.21倍；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00,距离20日均线过远扣0.1分,今日无高确定性机会，建议空仓观察。
14,600162,香江控股,K70房地产业,行业,0,0.0,False,58.5,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 6.0, '突破评分': 2.8, '市值评分': 3.0, '板块热度': 1.2, '资金评分': 5.7, '风险扣分': -9.5, '市场风格调整': 0.0}",55.0,5.7,5.95,2.77,9.55,30.0,25.0,2.77,-9.55,3.0,1.25,3.38,3.158,2.927,2.743,1.356,8.213,881936025.0,-0.0088,0.0,0.0,0.0,0.0,11047320778.0,3.33 - 3.43,2.7,3.65,收盘价高于20日均线23.2%；均线多头排列，MA5/MA10距离7.9%，MA10/MA20距离6.7%；成交量为5日均量1.36倍；成交量为10日均量1.32倍；OBV趋势向上；行业K70房地产业热度评分0.00,最近10日涨幅过大扣0.5分；距离20日均线过远扣6.2分；当日长上影线明显扣1.9分；波动异常扣0.9分,今日无高确定性机会，建议空仓观察。
15,600986,浙文互联,I64互联网和相关服务,行业,0,0.0,False,58.5,"{'MA20评分': 26.0, '均线评分': 24.9, '量能评分': 6.4, '突破评分': 2.7, '市值评分': 3.0, '板块热度': 2.5, '资金评分': 10.6, '风险扣分': -7.0, '市场风格调整': 0.0}",50.89,10.64,6.38,2.74,7.02,26.01,24.88,2.74,-7.02,3.0,2.5,8.16,7.812,7.332,6.986,1.025,9.908,1203826813.0,-0.0097,0.0,0.0,0.0,0.0,12136972656.0,8.04 - 8.28,6.88,8.81,收盘价高于20日均线16.8%；均线多头排列，MA5/MA10距离6.5%，MA10/MA20距离4.9%；成交量为5日均量1.03倍；成交量为10日均量1.39倍；OBV趋势向上；OBV接近或创阶段新高；行业I64互联网和相关服务热度评分0.00,距离20日均线过远扣2.7分；当日长上影线明显扣4.4分,今日无高确定性机会，建议空仓观察。
16,000506,招金黄金,B09有色金属矿采选业,行业,0,0.0,False,58.1,"{'MA20评分': 22.8, '均线评分': 22.2, '量能评分': 8.1, '突破评分': 4.8, '市值评分': 3.0, '板块热度': 1.2, '资金评分': 13.2, '风险扣分': -4.0, '市场风格调整': 0.0}",45.03,13.23,8.09,4.8,3.98,22.85,22.18,4.8,-3.98,3.0,1.25,15.62,14.574,13.6,13.107,1.329,12.806,1815578385.04,0.0317,0.0,0.0,0.0,0.0,14506403340.0,15.39 - 15.85,12.91,16.87,收盘价高于20日均线19.2%；均线多头排列，MA5/MA10距离7.2%，MA10/MA20距离3.8%；成交量为5日均量1.33倍；成交量为10日均量1.41倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业B09有色金属矿采选业热度评分0.00,距离20日均线过远扣4.0分,今日无高确定性机会，建议空仓观察。
17,002912,中新赛克,I65软件和信息技术服务业,行业,0,0.0,False,57.8,"{'MA20评分': 24.4, '均线评分': 21.9, '量能评分': 12.2, '突破评分': 5.1, '市值评分': 0.0, '板块热度': 2.5, '资金评分': 14.7, '风险扣分': -8.3, '市场风格调整': 0.0}",46.3,14.73,12.17,5.11,8.32,24.42,21.88,5.11,-8.32,0.0,2.5,22.2,19.91,18.993,18.328,4.571,10.43,369930675.88,0.0556,0.0,0.0,0.0,0.0,3601321740.0,21.87 - 22.53,18.05,23.98,收盘价高于20日均线21.1%；均线多头排列，MA5/MA10距离4.8%，MA10/MA20距离3.6%；成交量为5日均量4.57倍；成交量为10日均量5.04倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业I65软件和信息技术服务业热度评分0.00,距离20日均线过远扣5.1分；成交额偏低扣3.3分,今日无高确定性机会，建议空仓观察。
18,600468,百利电气,C38电气机械和器材制造业,行业,0,0.0,False,57.8,"{'MA20评分': 27.7, '均线评分': 25.0, '量能评分': 10.7, '突破评分': 2.6, '市值评分': 0.0, '板块热度': 4.4, '资金评分': 10.3, '风险扣分': -12.5, '市场风格调整': 0.0}",52.66,10.34,10.71,2.56,12.51,27.66,25.0,2.56,-12.51,0.0,4.38,6.74,6.19,5.888,5.491,2.079,9.933,713720374.0,-0.0146,0.0,0.0,0.0,0.0,7331335922.0,6.64 - 6.84,5.41,7.28,收盘价高于20日均线22.7%；均线多头排列，MA5/MA10距离5.1%，MA10/MA20距离7.2%；成交量为5日均量2.08倍；成交量为10日均量2.37倍；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣0.7分；距离20日均线过远扣6.0分；当日长上影线明显扣3.7分；当日放量滞涨扣2.1分,今日无高确定性机会，建议空仓观察。
19,002298,中电鑫龙,C38电气机械和器材制造业,行业,0,0.0,False,56.6,"{'MA20评分': 25.5, '均线评分': 25.0, '量能评分': 3.1, '突破评分': 0.3, '市值评分': 0.0, '板块热度': 4.4, '资金评分': 10.0, '风险扣分': -1.6, '市场风格调整': 0.0}",50.45,10.0,3.06,0.3,1.59,25.45,25.0,0.3,-1.59,0.0,4.38,8.78,8.826,8.478,7.674,0.694,11.534,662966914.46,-0.0467,0.0,0.0,0.0,0.0,5801446459.999999,8.65 - 8.91,7.56,9.48,收盘价高于20日均线14.4%；均线多头排列，MA5/MA10距离4.1%，MA10/MA20距离10.5%；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣0.2分；距离20日均线过远扣1.3分,今日无高确定性机会，建议空仓观察。
20,000566,海南海药,C27医药制造业,行业,0,0.0,False,56.5,"{'MA20评分': 23.1, '均线评分': 25.0, '量能评分': 7.0, '突破评分': 3.8, '市值评分': 0.0, '板块热度': 1.2, '资金评分': 7.5, '风险扣分': -3.6, '市场风格调整': 0.0}",48.08,7.5,7.0,3.82,3.63,23.08,25.0,3.82,-3.63,0.0,1.25,6.13,5.894,5.592,5.285,1.01,21.735,1664376243.0400002,0.02,0.0,0.0,0.0,0.0,7948989227.999999,6.04 - 6.22,5.21,6.62,收盘价高于20日均线16.0%；均线多头排列，MA5/MA10距离5.4%，MA10/MA20距离5.8%；成交量为5日均量1.01倍；成交量为10日均量1.35倍；突破近20日高点；OBV趋势向上；行业C27医药制造业热度评分0.00,距离20日均线过远扣2.2分；波动异常扣1.4分,今日无高确定性机会，建议空仓观察。
